userid,count
44196397,118
828113462119116800,88
1142426049470296064,76
1201947378758098945,73
412919725,72
1467953071,72
1197600245686906881,72
509760488,72
1198758805665931264,66
1201888874378780674,63
2888607447,63
132630648,63
1359994684660088837,62
43753976,61
518172448,61
16389180,59
1346733056489631745,55
274322871,54
24886994,52
52577220,52
1229399552232435713,51
806604966974476288,51
196672263,51
1451750550916247560,51
1070405236806709248,51
946344888,50
1479442387843829762,50
1439677923942928391,50
1404607678832283651,50
957773365242159104,49
2735383402,49
1024067503809548288,49
1258545846758539264,49
1507816301372260356,48
1350231698819207170,48
1340175549495435264,48
1025447504245149698,48
1441635350149931010,48
1362235907936501763,48
4914274697,48
492939285,47
3438834003,47
43601834,47
1435657567091494916,47
1319108744425447434,46
1391878799831142404,46
1334259953041879042,46
1409798257,46
1223059296600150016,45
1373874744366358528,45
1458252727176269824,44
1370103870798577664,44
1205528663753547776,44
1190929680544796674,44
1086410003441827841,44
1010369145718919169,44
33194442,44
1360793985913094144,44
1507725412083937291,43
1388199235343077382,43
1369718800216653825,43
1320175453697572864,43
1309520568165830658,43
1308830413683646466,43
2972870754,43
2546749879,43
2789118924,43
1514607126810824706,42
1342238428654665728,42
1029902668964290560,42
1451737373033775105,42
1432841079339065352,42
1410013935277776898,42
473732261,42
1504325282307936256,41
1392479166566703105,41
1321204221342081033,41
202270531,41
280748631,41
21130829,41
1506283136845598724,40
1225474066355761154,40
1631266417,40
1425834192638644229,40
1405244840229621760,40
1367298094816260097,40
1353907711675658240,40
901443875138654208,40
16548023,40
1386468641277943808,39
1414955789924642818,39
1379518915320164358,39
1419007117424533509,39
1442594240513544192,38
1436075851226001410,38
1224289784937484288,38
1093755772230557696,38
797163946591551488,38
115827236,38
1491002041396707330,38
895790502699823106,38
4334737156,38
307083860,38
1434306894622044161,38
1403552020439646211,38
1395193447464775682,38
1387007104880422912,38
1315804651133046790,38
1291071432202637313,38
1479785317338996736,38
1482456679937904647,37
1316846945940451330,37
783341365602164736,37
1466969119,37
904720808,37
493242043,37
211292585,37
