userid,count
382613598,10060
2987944552,7
549363150,76
384951853,69
2657163822,86
62883832,345
134926460,487
159539659,38
336682503,710
581112971,172
332551143,74
1134240469,4
783638112,28
778449534,362
2248461008,12
2225609274,5
812792629,58
990863864,5
810745280,9
1464065510,9
769096872,19
 566991304,237
576878336,15
 620912741,6380
817412749,139
537832582,199
926418127,233
601704814,20
557519450,5
824117671289569280,1
621464865,716
626285681,67
983973542,3
604276601,16
588027452,13
2460732650,64
939212076,36
2567309419,5
1577824297,7
10228272,1693
291134504,514
145369640,406
446659893,36
334379019,15
295832155,57
313632777,51
191995162,1684
379392665,56
626472897,13
 626472897,3
622281658,443
833229128,31
1321125625,5
704739264,50
967868706,7
1361436061,7
625552020,4
744858672,28
2545455084,4
754995253,5
1357386625,2
612726034,38
718785872,80
63131281,6
608890842,8
559474062,9
2422325899,2
784464702,2
1065152784,3
2465264058,29
1358761272,4
563399050,121
2504754073,6
1973170596,3
163162759,5
192608058,1119
120496037,6
141460726,113
701104562,11
1550550985,7
619757818,13
1372133148,11
1348405825,2
2229730496,2
621281574,107
846971803,18
1118581730,25
826522651,35
 826522651,1
1422012691,8
 1422012691,3
2158052544,4
1948141262,15
1111213849,231
159300889,46
 379859049,1
380523283,6
465598979,95
416336700,38
633237284,337
304823273,38
2263643041,1
2962110622,70
174293510,7
864734070,10
628162628,36
795459097,29
1366467390,10
1229232494,128
2245057069,38
2385920635,11
2439456402,2
2604000875,18
1113942428,8
908207078,11
609281388,74
 609281388,2
1274120418,12
1243438410,14
608807724,264
1548604086,23
1532864431,11
623339396,19
797359976,63
 797359976,1
620543311,112
 620543311,49
746977645,7
 746977645,2
629039350,48
603296888,7
1669615266,25
604268240,24
1188028717,12
1718977417,7
1463878662,6
625497222,11
2372753631,68
620912741,123
393087514,4
564981517,56
104558993,329
176220914,40
364683554,89
77202103,60
1496289390,1
479954808,29
 479954808,34
622033776,17
838783226,48
1208488040,10
1075553605,14
596190800,6
1027851294,9
378496403,8
 835051482,6
1545544531,36
605263979,111
871573423,12
2371310022,16
2285279425,234
 2285279425,3
1122024474,136
1420701114,603
1641995911,20
 1641995911,1
879623474,9
620827125,6
 879623474,4
2654125861,3
146935739,80
1862684870,11
632618737,32
2344643389,26
1870861238,9
1671245959,71
566991304,576
1054592792,14
1060464714,105
878661081140404224,1
443196382,259
392092895,34
 379392665,436
439481875,32
206840196,23
85626038,129
192167351,4
606835726,24
 606835726,3
 621464865,136
802056948,132
2156444870,8
758220493,34
886394846,22
953312275,33
725878008,49
716122950,33
788644999,4
738687696,10
2391799052,64
828253261,12
1391338381,9
907372548,148
2279869656,1
 2345078588,1
721714262,23
614306959,22
2204656849,4
1626956041,30
 602487399,23
1108199192,18
 999709872,2
 493812870,1
1967021779,632
1251482786,31
1159213717,11
1724952906,5
810146159176073216,6
827713610663096321,5
116351908,38
928411651,9
636123766,14
 636123766,4
615265464,112
924656155,7
1864067448,9
1410446425,50
616947404,32
586079180,15
1019577535,7
1874810864,4
1560634734,23
1052051719,5
 2461214282,1
 778449534,45
1415095596,3
2158617373,16
628483279,7
806989554,1
740678966,18
629956027,4
2473901253,8
790999351,152
2473624453,7
2359129843,17
563731289,7
1645019222,9
810795573594861568,44
158487331,4
 286954175,501
286954175,435
3391224857,53
803246118611976192,12
704212304,1
 831641573607616516,1
 2577009852,1
 807761335228370944,1
 2504754073,3
536363244,341
1415821855,70
361888859,28
619062430,1
 582157549,1
750446928,94
 635844019,2
620837426,6
593471877,25
1282732842,29
554057310,63
886436371,19
1557275569,23
 1557275569,3
1587664333,64
1038944898,68
1967845532,13
1001285143,4
2227788350,5
817203374,7
609695480,19
620983821,63
618922953,15
1562844938,214
758469746,35
1267116746,9
1067779982,2
1567121262,12
1478275878,9
850367712295395328,2
812935342680457216,1
827482903659491329,4
490675110,63
 200072035,867
263349044,4
 1881693990,32
580547829,1
 608807724,23
2304350551,8
1396815936,9
977644507,10
2180042426,30
275932304,6
1003727324,6
851978838024355841,4
4107927521,27
414312150,180
228203015,3
371247104,5
882257792,13
609715217,30
582157549,42
545812933,28
754846440,466
747211364,5
1553575506,125
1168128445,8
2769066276,1
1509465024,4
 1937042646,1
575148814,24
1283599339,11
1710033384,14
1030084471,34
781531952050352128,36
732508518,7
216217150,25
72928307,1164
206181302,23
305192408,1112
369651780,75
102032342,555
300970842,102
627350363,10
548376639,17
1079933120,5
1414428972,2
1319788969,1
1714731848,7
2519499121,9
1138764026,106
4253854392,10
 191995162,455
527508915,49
700980182,18
636255808,24
 636255808,2
4852009013,4
608985323,13
 605913947,1
2598224126,159
1856822426,3
829227481,7
1650108456,8
929061168,6
627386112,10
2686811784,147
1511888970,457
1881693990,6
600823528,2
 628526220,2
552683737,25
 552683737,4
 169457966,10
736718503,7
1234749798,62
1877902470,5
2175910015,5
616856882,20
616002724,4
1656984492,12
971626202,7
1012645897,5
1707178608,15
1607671867,9
1049514104,221
1632794016,1
1270476486,5
1219409635,4
631635563,5
 370221515,3
31620863,3
239550782,118
207229141,153
 207229141,557
213125429,550
928652047,56
924386725,11
 947360748,8
619201317,40
 619201317,2
864148166,3
625242553,9
 475599956,2
598840001,20
592382701,25
629973759,10
 624622435,8
1677507312,129
983771137,15
748786124,13
 748786124,2
1542740012,6
465674161,15
2198705929,7
 2358771474,1
1656521430,2
634452105,24
622579656,83
 622579656,20
 754901426,1
708755286,116
634328767,56
 634328767,7
1565202787,14
1373874865,18
1070526410,8
862797979,6
2241903048,13
 1511888970,11
636764826,8
748765356,126
631821969,12
 773705599,32
899770016,102
947360748,49
2278795861,6
2399368921,28
2395837566,1
1210520450,16
981704160,14
1051976378,11
916710054,1
752859878,14
619638553,30
181590050,26
2462918281,4
822812612,13
935913643,9
2377956868,8
1497807690,17
187124977,10
2231300883,16
862979970,4
1382154974,81
571413325,3
623361676,91
602693647,14
781387188,9
1547834941,7
890485069,12
2434634161,9
 2297175642,3
748819496,33
1432467931,5
812605909,13
2423813822,11
122930658,88
 206840196,213
348773606,1
 295950462,1
763292593,180
571546431,9
719168972,8
 719168972,2
622693371,18
706324488,3
906122011,17
1253617602,40
815155267,14
702619603,16
773088360,98
394410530,80
86611634,17
404476090,10
619107981,15
606184964,33
1891775599,10
1047517548,44
1973395627,7
2269582056,4
1447772028,37
2162272015,68
2498044717,11
 2498044717,1
2150163828,2
 1108199192,3
613594377,67
 615353537,2
596387245,85
597360482,10
852613837,11
 852613837,2
1060020139,23
1037112792,384
727960112,4
1580309132,13
1662515533,23
746780365,12
348046115,435
314244580,23
495431935,55
480537028,42
370221515,74
862882880,17
 102390424,2
 626164367,2
2202292321,32
2316848197,5
971616025,1
1283315503,9
1178490116,10
858129830,442
1414815468,48
802724434498854912,4
 2992346502,1
 816135172286386176,1
445579131,48
786322634,48
 786322634,1
628526220,11
628071847,11
612148516,44
615836789,32
635844019,2
3155595134,1
 768850099,1
 2878214640,1
 2506169375,3
 2929252982,1
 2421176988,1
 3170863368,1
706601922,11
885047730,20
578851114,8
1160258054,19
 1160258054,4
1306828316,35
1279536192,7
813032485957222401,2
 192608058,1203
615116432,33
 197080518,2
 620983821,1
1030400766,6
1698023875,11
1893495566,2
1685319194,15
619556420,24
1100006917,19
634581854,28
631777320,140
 631777320,17
1156413788,7
768868802,35
632519239,74
1070015144,50
2484676730,47
994774770,2
 1309317276,1
 913717057,2
2418726889,130
635962103,34
748592360,13
1028313888,42
2481655921,4
1631948258,25
2413484599,2
 1037112792,14
606939977,4
1174815967,5
1556097492,590
2556721630,17
876980867247218688,1
 403138016,9
163993643,8
109424049,18
615133417,42
1050093900,1
618010313,10
1329187572,5
964303561,7
1874961444,49
2415478867,47
1220831478,6
778469160,202
2500982898,5
854147449,18
245326144,8
1188738973,1
789914334,8
1133717658,2
729936060990427136,64
1639381201,14
2227311624,1
626193419,15
381404689,119
 723038089,6
 18930571,7
 541746105,10
924883992,157
 924883992,154
1124281052,2
 1540704859,1
1584889969,6
586292218,96
1687811575,11
1182299431,1
1627338318,24
1518766873,6
903928820,11
871331710020931585,2
794117555527028736,1
38185503,8
 391616491,8
590263189,3
282515875,1
174473216,19
35765232,2
321734596,6
1272373322,6
1306864237,6
1447910095,22
1477166540,1
504905106,19
2268012570,12
2371799719,11
223600662,4
 364683554,662
631664951,109
929247812,7
 929247812,1
1497024380,2
623517419,57
2202827353,9
2615348155,11
1310024384,56
