userid,count
3193103588,1075
10228272,22854
2363924094,37
562156655,2
1678543033,1454
271747644,1
8149482,467
818876014390603776,58
791015242448850945,271
4517518895,36
13850422,38
857183077700845568,20
2428420819,137
775743859359903744,295
24139054,10
36017144,7
980265829353775104,1893
206250589,577
 873587404334014465,177
 190541883,5416
 565780240,246
 203829129,721
 873107449389002752,237
 2267915521,310
845430152779644928,102
 854609887514382336,22
855348433263013889,210
1087205873045274624,918
2220709044,12
1101504256949927936,24
956888370,603
982101420512952321,8
 856623864,6339
1247545812,48
717033033065373696,45
1013885875682467840,12
1025563946361602048,104
4662406896,192
1476575546,21
2341036216,156
69554963,1
2484779046,2
968894380923760640,52
949599378305572870,3
615350913,1236
878180430221983744,6
2156732209,398
862598893095104513,1108
2188300422,680
816188760719126528,104
827804288239820800,25
833247207046279168,198
107757784,6
 1527623720,1
 922129886,1
 178535708,38
 1083910989915930624,3
 1111958376009732096,1
 843653314315083776,4
 1079268037209948160,6
 1111527661069701120,1
 1669744201,16
 963254211931549702,2
 808536114302619648,6
 1111951287661162496,1
 849988824067317763,21
 1107650414030143494,1
 999248328540893184,7
 1056776573095829504,6
857371396002922496,1411
1415295992,443
1459560308,3383
1962479880,43
1030084330469519360,133
821738200133603329,114
1066112129147781121,4
15900167,58
 24925573,85
 25319414,279
900340973896572928,2
3253749618,103
97051070,12
557395860,3
267177135,21
 1022301328507392000,3
888306699198636032,4155
 64845075,555
 3968593342,967
 845648132725788672,101
 908120269,75
 566314923,62
 767813317,47
 930355290079485952,8
 4715995101,160
 752641889287811072,514
 1333659811,1485
 871374082264055809,612
 119282179,192
1103964640063631361,3
877564002053668864,107
877549041747238913,42
956533570964615174,41
 1251212605,8
 915871498694303744,66
 921937274299867146,21
 965519306,8
 3284914184,8
 751295519411011584,26
 1075422308620091392,49
 1053473435513315328,4
 1045264025947262977,31
 1007689688881119233,85
 1043136858471817216,7
 325100396,3
2427140467,516
2912876426,3
1414426544,44
939652096457977856,1
1160457524014768128,1
717135755257061376,123
921781241501818880,1
19988587,39
97288598,1
1112150076535635968,32
 867545988,275
 1659806714,260
 787935418826104832,228
 2215386860,171
 3193993398,74
 876967655407624192,233
 913343373158649857,240
 980440848553750528,220
 1089925575274258432,88
 43133182,38
 1149520845582172164,231
 1143320753267286016,95
 884757105621716992,203
 1122694929698811904,269
 978633857787408384,199
 1151448956951359489,75
 3073329174,208
1009384475690582016,43
 1025628093048807430,3
 822818609634213888,2
 786821673903230976,5
 853549389700243456,7
 1050694165372100608,3
 984739078934417408,24
 911841002670845954,24
 1336689955,74
 829622763895730177,5
892727659,12
 3213339796,161
 1084407480392667136,3
 1013305219751399424,4
 903823342678847488,21
 750334667484639232,199
 1054335536347762688,3
 996720056007454720,5
 1315656810,56
 1124667322784817154,66
614415746,1545
927787393469394944,120
1285966574,492
747787512890990597,62
1001092291488989186,80
771302382600802304,4
2578306934,1832
1649354196,316
4901052602,742
1083685296959418368,3
851458489620676610,58
1126178496479236096,2
 1032199532510031872,3
 888890726641160193,7
 1037238137531953152,2
 957224804196601856,8
 985958855094841344,14
 960034580496449536,4
 1040204850397507585,11
 2850206480,13
 881895021900840960,7
930069642101473280,32
 568713010,161
765386365282324480,4
 765386365282324480,2
1001301835532058624,49
987490389564129280,181
 1001301835532058624,48
2542811833,180
924908407638736902,9
558429114,421
1017272606741786624,23
982164804826640384,57
168195769,22
20802277,228
424584244,1
3103950596,145
727041749663645696,44
894831231010983937,397
827105506925826053,5
 58178978,6
23922797,39
1066939749191974912,14
 888307973516255234,3
 3341657165,5
 995599377602265090,2
 1346395309,17
 1036167541733744640,1
 1049633983707766784,2
750940599461748736,135
793405653372895232,2
1865780940,260
1080651158903959552,1
565780240,224
 206250589,855
 886097957782552576,144
 892933627708792832,174
 864918572962918400,55
313222828,19
916797970678296576,1
899073300101382144,613
 1409045587,129
 868427724703940608,51
 2245423286,280
 717135755257061376,137
 2364151681,52
 715693326075187201,187
 786792517,525
 817751366856634369,202
 841468152701636608,457
 3850033452,342
 855348433263013889,311
 726712195866746881,4
1002860631031087106,288
955154286152839168,11
4363103418,337
892933627708792832,284
