"","can_name_clean","yr","cst","cst_n","sub","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"459","BIAZON RUFFY",2016,90,"CITY OF MUNTINLUPA","NCR¬†-¬†FOURTH¬†DISTRICT","LP",1,NA,"26632615","NA; NA; https://www.facebook.com/officialruffybiazon",1,1
"460","BIAZON RUFFY",2019,90,"CITY OF MUNTINLUPA","NCR - FOURTH DISTRICT","PDP-LABAN",1,NA,"26632615","NA; NA; https://www.facebook.com/officialruffybiazon",1,1
"461","BIAÑO VICTOR C",2010,72,"CEBU 6","REGION VII","INDEPENDENT",0,NA,NA,"NA; NA",0,0
"462","BICHARA AL FRANCIS D",2010,9,"ALBAY 2","REGION V","PARTIDO NACIONALISTA",1,NA,NA,"NA; https://www.facebook.com/govalbichara",1,0
"463","BICHARA AL FRANCIS DEL CASTILLO",2013,9,"ALBAY 2","V","PARTIDO NACIONALISTA",1,NA,NA,"NA; https://www.facebook.com/govalbichara",0,0
"464","BICLAR EFREN HIPONIA",2013,217,"SOUTH COTABATO 2","XII","IND",0,NA,NA,NA,0,0
"465","BICO JAMES REY D",2010,195,"QUEZON 2","REGION IV-A","PARTIDO NACIONALISTA",0,NA,NA,NA,0,0
"466","BILBAO JACKIE",2019,166,"NEGROS OCCIDENTAL 6","REGION VI","IND",0,NA,NA,NA,0,0
"467","BILLONES TAWI",2016,56,"CAPIZ 1","REGION VI","LP",1,NA,NA,"NA",0,0
"468","BILLONES TAWI",2019,56,"CAPIZ 1","REGION VI","LP",1,NA,NA,"NA",0,0
"469","BINAG NOEL C",2010,125,"ISABELA 1","REGION II","BIGKIS PINOY MOVEMENT",0,NA,"451097540; 1321619432","NA; NA; NA; https://www.facebook.com/NoelOSHBinag; NA; NA",0,0
"470","BINAY JOJO",2019,79,"CITY OF MAKATI 1","NCR - FOURTH DISTRICT","UNA",0,"former Vice Presient (2010 - 2016); Chairman of Housing and Urban Development Coordinating Council and Presidential Adviser for Overseas Filipino Workers (2010 - 2015); Chairman of the Metropolitan Manila Development Authority (1998 - 2001)","508434918","https://www.facebook.com/JojoCBinay",1,1
"471","BINAY MAR LEN ABIGAIL S",2010,80,"CITY OF MAKATI 2","NATIONAL CAPITAL REGION","PARTIDO DEMOKRATIKO PILIPINO-LAKAS NG BAYAN",1,NA,NA,"https://www.facebook.com/abby.binay; NA; https://www.facebook.com/Abigail-Binay-326265274870; https://www.facebook.com/Mayor-Abby-Binay-105759740775197",1,0
"472","BINAY MAR LEN ABIGAIL SOMBILLO",2013,80,"CITY OF MAKATI 2","NCR - FOURTH DISTRICT","UNA",1,NA,NA,"https://www.facebook.com/abby.binay; NA; https://www.facebook.com/Abigail-Binay-326265274870; https://www.facebook.com/Mayor-Abby-Binay-105759740775197",0,0
"473","BIONG MATEO JR S",2010,111,"EASTERN SAMAR","REGION VIII","PWERSA NG MASANG PILIPINO",0,NA,NA,NA,0,0
"474","BIRON FERJ",2016,122,"ILOILO 4","REGION VI","NUP",1,NA,NA,"NA; NA; NA; https://www.facebook.com/DokFerj",0,0
"475","BIRON FERJENEL G",2010,122,"ILOILO 4","REGION VI","PARTIDO NACIONALISTA",1,NA,NA,"NA; NA; NA; https://www.facebook.com/DokFerj",1,0
"476","BIRON HERNAN JR GONZALES",2013,122,"ILOILO 4","VI","UNA",1,NA,NA,"NA; https://www.facebook.com/Hernan-Jun-Biron-Jr-326398027910504",0,0
"477","BIRON TOTO BJ",2019,122,"ILOILO 4","REGION VI","NP",1,NA,NA,"NA; https://www.facebook.com/Braeden-John-Q-Biron-739629346154083",1,0
"478","BISA LITO",2016,24,"BATANGAS 5","REGION IV-A","IND",0,NA,NA,"NA; NA",0,0
"479","BOCOBO ALBERT DIZON",2013,89,"CITY OF MARIKINA 2","NCR - SECOND DISTRICT","IND",0,NA,NA,NA,0,0
"480","BOLASTIG BOY",2019,209,"SAMAR (WESTERN SAMAR) 2","REGION VIII","LAKAS-CMD",0,NA,NA,"NA; https://www.facebook.com/atty.boybolastig",0,0
"481","BOLILIA LIANDA",2016,23,"BATANGAS 4","REGION IV-A","LP",1,NA,NA,"https://www.facebook.com/alagangsilinglabuyo",0,0
"482","BOLILIA LIANDA",2019,23,"BATANGAS 4","REGION IV-A","NP",1,NA,NA,"https://www.facebook.com/alagangsilinglabuyo",0,0
"483","BONDOC ANNA YORK P",2010,186,"PAMPANGA 4","REGION III","PARTIDO NACIONALISTA",1,NA,NA,"NA; https://www.facebook.com/DrAnnaYorkBondoc",1,0
"484","BONDOC JUAN MIGUEL RIVERA",2013,18,"BATAAN 2","III","AKSYON DEMOKRATIKO",0,NA,NA,"https://www.facebook.com/1mig.bondoc",0,0
"485","BONDOC JUAN PABLO PUYAT",2013,186,"PAMPANGA 4","III","PARTIDO NACIONALISTA",1,NA,NA,"https://www.facebook.com/Idolo-ning-Masa-110591710285062",1,0
"486","BONDOC RIMPY",2016,186,"PAMPANGA 4","REGION III","NP",1,NA,NA,"https://www.facebook.com/Idolo-ning-Masa-110591710285062",0,0
