"","can_name_clean","yr","cst","cst_n","sub","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"1","ABAD DINA",2016,19,"BATANES","REGION II","LP",1,NA,NA,NA,0,0
"2","ABAD FLORENCIO",2019,19,"BATANES","REGION II","LP",0,"Secretary of Dept. of Budget and Management (2010 - 2016), Secretary of Education (2004 - 2005), Secretary of Agrarian Reform (1989 - 1990)",NA,"NA",0,0
"3","ABAD HENEDINA R",2010,19,"BATANES","REGION II","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,NA,0,0
"4","ABAD HENEDINA RAZON",2013,19,"BATANES","II","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,NA,0,0
"5","ABAD NICK",2016,19,"BATANES","REGION II","UNA",0,NA,NA,"NA",0,0
"6","ABADIANO EDGAR V",2010,75,"CEBU CITY (CAPITAL) 2","REGION VII","INDEPENDENT",0,NA,NA,NA,0,0
"7","ABANTE BIENVENIDO JR M",2010,87,"CITY OF MANILA 6","NATIONAL CAPITAL REGION","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",0,NA,"112695660","https://www.facebook.com/BennyAbante",1,1
"8","ABANTE BIENVENIDO JR M",2013,87,"CITY OF MANILA 6","NCR - FIRST DISTRICT","UNA",0,NA,"112695660","https://www.facebook.com/BennyAbante",1,1
"9","ABANTE BIENVENIDO JR M",2016,87,"CITY OF MANILA 6","NATIONAL¬†CAPITAL¬†REGION","AM",0,NA,"112695660","https://www.facebook.com/BennyAbante",1,1
"10","ABANTE BIENVENIDO JR M",2019,87,"CITY OF MANILA 6","NATIONAL CAPITAL REGION","NUP-ASENSO",1,NA,"112695660","https://www.facebook.com/BennyAbante",1,1
"11","ABAO BENROME S",2010,179,"ORIENTAL MINDORO 2","REGION IV-B","INDEPENDENT",0,NA,"782760836","NA",0,0
"12","ABAYA BOYBLUE",2016,59,"CAVITE 1","REGION IV-A","LP",1,NA,NA,"NA; https://www.facebook.com/Francis-Gerald-A-Abaya-906937746071004; https://www.facebook.com/BoyBlueAguinaldoAbaya",0,0
"13","ABAYA BOYBLUE",2019,59,"CAVITE 1","REGION IV-A","LP",1,NA,NA,"NA; https://www.facebook.com/Francis-Gerald-A-Abaya-906937746071004; https://www.facebook.com/BoyBlueAguinaldoAbaya",0,0
"14","ABAYA FRANCIS GERALD AGUINALDO",2013,59,"CAVITE 1","IV-A","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"NA; https://www.facebook.com/Francis-Gerald-A-Abaya-906937746071004; https://www.facebook.com/BoyBlueAguinaldoAbaya",1,0
"15","ABAYA JOSEPH EMILIO A",2010,59,"CAVITE 1","REGION IV-A","PARTIDO LIBERAL NG PILIPINAS",1,"former Secretary of Transportation and Communications (2012 - 2016)","798016177","NA; https://www.facebook.com/Jun-Abaya-The-Peoples-Page-157795560934571",0,0
"16","ABAYA PLARIDEL M",2010,60,"CAVITE 2","REGION IV-A","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,"https://www.facebook.com/Plaridel-Del-Abaya-114140925277187",0,0
"17","ABAYON HARLIN",2016,170,"NORTHERN SAMAR 1","REGION VIII","NP",0,NA,NA,"NA; NA",0,0
"18","ABAYON HARLIN",2019,170,"NORTHERN SAMAR 1","REGION VIII","NP",0,NA,NA,"NA; NA",0,0
"19","ABAYON HARLIN CASTILLO",2013,170,"NORTHERN SAMAR 1","VIII","PARTIDO NACIONALISTA",1,NA,NA,"NA; NA",0,0
"20","ABAÑO SALVADOR RALDY R",2010,76,"CITY OF ANTIPOLO 1","REGION IV-A","INDEPENDENT",0,NA,NA,"NA; https://www.facebook.com/ErraRaldy08",1,0
"21","ABAÑO SALVADOR RALDY RODRIGO",2013,76,"CITY OF ANTIPOLO 1","IV-A","IND",0,NA,NA,"NA; https://www.facebook.com/ErraRaldy08",0,0
"22","ABBOTT HENRY CLYDE CASANOS",2013,157,"MISAMIS ORIENTAL 1","X","IND",0,NA,NA,NA,0,0
"23","ABEJUELA ALVIN",2010,209,"SAMAR 2","REGION VIII","PARTIDO DEMOKRATIKO PILIPINO-LAKAS NG BAYAN",0,NA,NA,"https://www.facebook.com/AbejuelaAlvinV",0,0
"24","ABELLANO MOISES SR A",2010,243,"ZAMBOANGA SIBUGAY 2","REGION IX","INDEPENDENT",0,NA,NA,NA,0,0
"25","ABELLANOSA BEBOT",2016,75,"CEBU CITY 2","REGION VII","LP",1,NA,NA,"https://www.facebook.com/congbebotabellanosa; NA; https://www.facebook.com/Rodrigo-Bebot-Abellanosa-105889401390013; NA",0,0
"26","ABELLANOSA BEBOT",2019,75,"CEBU CITY 2","REGION VII","LDP",1,NA,NA,"https://www.facebook.com/congbebotabellanosa; NA; https://www.facebook.com/Rodrigo-Bebot-Abellanosa-105889401390013; NA",0,0
"27","ABELLANOSA RODRIGO ABELLANA",2013,75,"CEBU CITY 2","VII","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"https://www.facebook.com/congbebotabellanosa; NA; https://www.facebook.com/Rodrigo-Bebot-Abellanosa-105889401390013; NA",0,0
"28","ABELLERA ZARDI",2016,78,"CITY OF LAS PIÑAS","NCR¬†-¬†FOURTH¬†DISTRICT","IND",0,NA,"977942493063872256","NA",0,0
"29","ABIERRA CHRISTOPHER",2016,102,"DAVAO CITY 2","REGION XI","IND",0,NA,NA,NA,0,0
"30","ABLAN MICHEL KRISTIAN R",2010,115,"ILOCOS NORTE 1","REGION I","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",0,NA,"1120182466952581120","NA; NA; https://www.facebook.com/kristianablan",1,1
"31","ABU RANEO ENRIQUEZ",2013,21,"BATANGAS 2","IV-A","PARTIDO NACIONALISTA",1,NA,NA,"https://www.facebook.com/abu.raneo; NA",1,0
"32","ABU RANIE",2016,21,"BATANGAS 2","REGION IV-A","NP",1,NA,NA,"https://www.facebook.com/abu.raneo; NA",0,0
"33","ABU RANIE",2019,21,"BATANGAS 2","REGION IV-A","NP",1,NA,NA,"https://www.facebook.com/abu.raneo; NA",0,0
"34","ABUAN CALI",2019,127,"ISABELA 3","REGION II","IND",0,NA,NA,NA,0,0
"35","ABUBAKAR ANUAR J",2010,232,"TAWI-TAWI","AUTONOMOUS REGION IN MUSLIM MINDANAO","NATIONALIST PEOPLE'S COALITION",0,NA,NA,"NA",0,0
"36","ABUBAKAR ANUAR JOE",2013,232,"TAWI-TAWI","ARMM","NATIONALIST PEOPLE'S COALITION",0,NA,NA,"NA",0,0
"37","ABUBAKAR ISMAEL JR BEDERI",2013,232,"TAWI-TAWI","ARMM","UNA",0,NA,NA,NA,0,0
"38","ABUEG BENG",2019,181,"PALAWAN 2","REGION IV-B","PPP",1,NA,NA,"https://www.facebook.com/Atty.BengAbueg2019",1,0
"39","ABUEG ERICK",2016,181,"PALAWAN 2","REGION IV-B","LP",1,NA,NA,"NA; https://www.facebook.com/DeputySpeakerFrederickAbueg; https://www.facebook.com/congerickabuegpalawan",0,0
"40","ABUEG FREDERICK FABELLO",2013,181,"PALAWAN 2","IV-B","PPP",1,NA,NA,"NA; https://www.facebook.com/DeputySpeakerFrederickAbueg; https://www.facebook.com/congerickabuegpalawan",0,0
"41","ACAIN ALEX",2016,240,"ZAMBOANGA DEL SUR 1","REGION IX","NUP",0,NA,"359107308","NA; https://www.facebook.com/congalexacain",0,1
"42","ACEDILLO FRANCISCO ASHLEY L",2010,74,"CEBU CITY (CAPITAL) 1","REGION VII","INDEPENDENT",0,NA,"236393259","NA; NA; https://www.facebook.com/Ashley-Ace-Acedillo-192911877415",0,1
"43","ACENAS CAESAR IAN",2019,43,"CAGAYAN DE ORO 1","REGION X","PADAYN",0,NA,"1123024521924005760","https://www.facebook.com/Ian-Acenas-1024770057705157; NA",1,0
"44","ACERON MARIA ESTELA FELIPA M",2010,178,"ORIENTAL MINDORO 1","REGION IV-B","PARTIDO NACIONALISTA",0,NA,NA,NA,0,0
"45","ACHARON PEDRO JR B",2010,216,"SOUTH COTABATO 1","REGION XII","NATIONALIST PEOPLE'S COALITION",1,NA,"2220946765; 2810676001","NA; https://www.facebook.com/pbad1congress",1,0
"46","ACHARON PEDRO JR B",2013,216,"SOUTH COTABATO 1","XII","NATIONALIST PEOPLE'S COALITION",1,NA,"2220946765; 2810676001","NA; https://www.facebook.com/pbad1congress",1,0
"47","ACHARON PEDRO JR B",2016,216,"SOUTH COTABATO 1","REGION XII","NPC",1,NA,"2220946765; 2810676001","NA; https://www.facebook.com/pbad1congress",1,0
"48","ACOP DOKTORA",2019,77,"CITY OF ANTIPOLO 2","REGION IV-A","NUP",1,NA,NA,NA,0,0
"49","ACOP ROMEO",2016,77,"CITY OF ANTIPOLO 2","REGION IV-A","LP",1,NA,NA,"NA",0,0
"50","ACOP ROMEO M",2010,77,"CITY OF ANTIPOLO 2","REGION IV-A","INDEPENDENT",1,NA,NA,"NA",0,0
"51","ACOP ROMEO MACUSI",2013,77,"CITY OF ANTIPOLO 2","IV-A","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"NA",0,0
"52","ACOSTA  MARIA BELEN S",2010,101,"DAVAO CITY 1","REGION XI","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,"NA; https://www.facebook.com/mabelacostadvo",0,0
"53","ACOSTA CIL",2016,182,"PALAWAN 3","REGION IV-B","IND",0,NA,NA,NA,0,0
"54","ACOSTA KABARANGAY GIL",2016,182,"PALAWAN 3","REGION IV-B","NPC",1,NA,NA,"NA; https://www.facebook.com/kabarangayjr",1,0
"55","ACOSTA KABARANGAY JR",2019,182,"PALAWAN 3","REGION IV-B","PPP",1,NA,NA,"NA; https://www.facebook.com/kabarangayjr",0,0
"56","ACOSTA MALOU",2016,32,"BUKIDNON 1","REGION X","LP",1,NA,NA,"NA; https://www.facebook.com/l.acostaalba",0,0
"57","ACOSTA MALOU",2019,32,"BUKIDNON 1","REGION X","BPP",1,NA,NA,"NA; https://www.facebook.com/l.acostaalba",0,0
"58","ACOSTA MARIA LOURDES OLAIVAR",2013,32,"BUKIDNON 1","X","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"NA; https://www.facebook.com/l.acostaalba",1,0
"59","ACOSTA RUTH BEATISULA",2013,34,"BUKIDNON 3","X","AKSYON DEMOKRATIKO",0,NA,NA,"NA",0,0
"60","ACOSTA SOCORRO O",2010,32,"BUKIDNON 1","REGION X","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,"NA; NA",0,0
"61","ACUÑA ERIC",2016,189,"PANGASINAN 3","REGION I","PDP-LABAN",0,NA,NA,NA,0,0
"62","ADALEM ERNESTO RAY G",2010,46,"CALOOCAN CITY 1","NATIONAL CAPITAL REGION","INDEPENDENT",0,NA,"1410512244","NA",0,0
"63","ADANZA MARCELO G",2010,169,"NEGROS ORIENTAL 3","REGION VII","NATIONALIST PEOPLE'S COALITION",0,NA,NA,NA,0,0
"64","ADANZA MARCELO GALICANO",2013,169,"NEGROS ORIENTAL 3","VII","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,NA,0,0
"65","ADASA LEX ARCHEE T",2010,237,"ZAMBOANGA DEL NORTE 1","REGION IX","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,NA,0,0
"66","ADAZA HOMOBONO ANDOY",2013,55,"CAMIGUIN","X","PARTIDO NACIONALISTA",0,NA,NA,"NA; https://www.facebook.com/Homobono-A-Adaza-1641427926154946; https://www.facebook.com/bonoski; NA",1,0
"67","ADIONG ANSARUDDIN",2016,140,"LANAO DEL SUR 1","AUTONOMOUS¬†REGION¬†IN¬†MUSLIM¬†MINDANAO","LP",1,NA,NA,"https://www.facebook.com/HookyAdiongOfficial",0,0
"68","ADIONG ANSARUDDIN ALONTO",2013,140,"LANAO DEL SUR 1","ARMM","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"https://www.facebook.com/HookyAdiongOfficial",0,0
"69","ADIONG HOOKY",2019,140,"LANAO DEL SUR 1","AUTONOMOUS REGION IN MUSLIM MINDANAO","NP",1,NA,NA,"https://www.facebook.com/HookyAdiongOfficial",0,0
"70","ADJU SAMSULA J",2010,221,"SULU 1","AUTONOMOUS REGION IN MUSLIM MINDANAO","INDEPENDENT",0,NA,NA,"NA",0,0
"71","ADLAWAN RICARDO",2016,74,"CEBU CITY 1","REGION VII","IND",0,NA,NA,NA,0,0
"72","ADVINCULA  VICTORIO S",2010,103,"DAVAO CITY 3","REGION XI","INDEPENDENT",0,NA,NA,NA,0,0
"73","ADVINCULA AA",2016,61,"CAVITE 3","REGION IV-A","LP",1,NA,NA,"https://www.facebook.com/Alex-AA-Advincula-304113319682291; https://www.facebook.com/alexadvinculafb",0,0
"74","ADVINCULA AA",2019,61,"CAVITE 3","REGION IV-A","PDP-LABAN",1,NA,NA,"https://www.facebook.com/Alex-AA-Advincula-304113319682291; https://www.facebook.com/alexadvinculafb",0,0
"75","ADVINCULA ALEX LACSON",2013,61,"CAVITE 3","IV-A","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"https://www.facebook.com/Alex-AA-Advincula-304113319682291; https://www.facebook.com/alexadvinculafb",1,0
"76","AGABAS TYRONE",2019,192,"PANGASINAN 6","REGION I","NPC",1,NA,NA,"https://www.facebook.com/Tyrone-Agabas-100155868532426",1,0
"77","AGACETA TEDDY",2019,133,"LA UNION 2","REGION I","IND",0,NA,NA,NA,0,0
"78","AGAPAY KATHERINE C",2010,136,"LAGUNA 3","REGION IV-A","NATIONALIST PEOPLE'S COALITION",0,NA,NA,"NA; https://www.facebook.com/VGkarenagapay",1,0
"79","AGARAO BENJAMIN JR CUETO",2013,137,"LAGUNA 4","IV-A","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"https://www.facebook.com/TropangAgarao",1,0
"80","AGARAO BENJIE",2016,137,"LAGUNA 4","REGION IV-A","LP",1,NA,NA,"https://www.facebook.com/TropangAgarao",0,0
"81","AGARAO BENJIE",2019,137,"LAGUNA 4","REGION IV-A","PDP-LABAN",1,NA,NA,"https://www.facebook.com/TropangAgarao",0,0
"82","AGATEP JOAQUIN JR C",2010,40,"CAGAYAN 1","REGION II","INDEPENDENT",0,NA,NA,NA,0,0
"83","AGBON BRANDO",2019,106,"DAVAO DEL SUR","REGION XI","IND",0,NA,NA,NA,0,0
"84","AGGABAO GIGI",2019,128,"ISABELA 4","REGION II","NPC",0,NA,NA,"NA; https://www.facebook.com/ManongGigi; NA",0,0
"85","AGGABAO GIORGIDI B",2010,128,"ISABELA 4","REGION II","NATIONALIST PEOPLE'S COALITION",1,NA,NA,"NA; https://www.facebook.com/ManongGigi; NA",1,0
"86","AGGABAO GIORGIDI BUZA",2013,128,"ISABELA 4","II","NATIONALIST PEOPLE'S COALITION",1,NA,NA,"NA; https://www.facebook.com/ManongGigi; NA",0,0
"87","AGGABAO MANAY NETTIE",2016,128,"ISABELA 4","REGION II","NPC",1,NA,"306540553","NA; NA",0,0
"88","AGGARAO MACK",2019,76,"CITY OF ANTIPOLO 1","REGION IV-A","IND",0,NA,NA,NA,0,0
"89","AGPAS LISO L",2010,26,"BENGUET","CORDILLERA ADM. REGION","PARTIDO DEMOKRATIKO PILIPINO-LAKAS NG BAYAN",0,NA,NA,"NA; NA",0,0
"90","AGRIPO RHEA RHENNA",2019,35,"BUKIDNON 4","REGION X","PDP-LABAN",0,NA,NA,"NA",0,0
"91","AGRIPO WENIFREDO E",2010,33,"BUKIDNON 2","REGION X","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,"NA",0,0
"92","AGRIPO WENIFREDO EDUAVE",2013,35,"BUKIDNON 4","X","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,"NA",0,0
"93","AGUAS HERBIE",2019,8,"ALBAY 1","REGION V","NPC",0,NA,"46611948","NA",0,0
"94","AGUILAR BEN",2019,117,"ILOCOS SUR 1","REGION I","IND",0,NA,NA,NA,0,0
"95","AGYAO MANUEL S",2010,131,"KALINGA","CORDILLERA ADM. REGION","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",1,NA,NA,"NA",0,0
"96","AGYAO MANUEL SWEGEN",2013,131,"KALINGA","CAR","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"NA",0,0
"97","AJIHIL MYRNA",2016,232,"TAWI-TAWI","AUTONOMOUS¬†REGION¬†IN¬†MUSLIM¬†MINDANAO","NUP",0,NA,NA,"NA",0,0
"98","AJIJI DON",2019,222,"SULU 2","AUTONOMOUS REGION IN MUSLIM MINDANAO","IND",0,NA,NA,"NA; NA",0,0
"99","AKBAR JUM",2016,16,"BASILAN","AUTONOMOUS¬†REGION¬†IN¬†MUSLIM¬†MINDANAO","LP",1,NA,NA,NA,0,0
"100","AKBAR OMAR",2019,16,"BASILAN","AUTONOMOUS REGION IN MUSLIM MINDANAO","KDP",0,NA,NA,"NA",0,0
"101","AKBAR RAJAM M",2010,16,"BASILAN","AUTONOMOUS REGION IN MUSLIM MINDANAO","AKSYON DEMOKRATIKO",0,NA,"854725749328158720","NA",0,0
"102","AL AG  WILBERTO E",2010,103,"DAVAO CITY 3","REGION XI","PARTIDO DEMOKRATIKO PILIPINO-LAKAS NG BAYAN",0,NA,NA,"NA; NA",0,0
"103","ALACRE JEFFRY JOHN A",2010,83,"CITY OF MANILA 2","NATIONAL CAPITAL REGION","INDEPENDENT",0,NA,NA,NA,0,0
"104","ALACRE JEFFRY JOHN A",2010,84,"CITY OF MANILA 3","NATIONAL CAPITAL REGION","INDEPENDENT",0,NA,NA,NA,0,0
"105","ALANG ALEXRAZUL",2016,96,"COTABATO (NORTH COT.) 1","REGION XII","IND",0,NA,NA,NA,0,0
"106","ALARCON ANTHONY JESUS S",2010,77,"CITY OF ANTIPOLO 2","REGION IV-A","INDEPENDENT",0,NA,"1555774597","https://www.facebook.com/Jestoni-Alarcon-627417763969474",1,0
"107","ALARILLA JOAN",2016,39,"BULACAN 4","REGION III","NPC",0,NA,NA,NA,0,0
"108","ALAS CHOY",2019,193,"PASAY","NCR - FOURTH DISTRICT","NPC",0,NA,NA,"NA; https://www.facebook.com/1ALASNGPASAY; https://www.facebook.com/Choy-Alas-Batang-Pasay-145724399481740; https://www.facebook.com/congressmanchoyalas",1,0
"109","ALATIIT GAT ALA ALICBUSAN",2013,134,"LAGUNA 1","IV-A","PDP",0,NA,"1347905054; 86332748","NA; NA",0,0
"110","ALBA RAUL S",2010,123,"ILOILO 5","REGION VI","NATIONALIST PEOPLE'S COALITION",0,NA,NA,NA,0,0
"111","ALBAJERA REYNALDO MENDOZA",2013,20,"BATANGAS 1","IV-A","IND",0,NA,NA,NA,0,0
"112","ALBANI IBRAHIM HUSSIEN",2013,232,"TAWI-TAWI","ARMM","IND",0,NA,NA,"https://www.facebook.com/IbrahimShariffAlbani; NA",1,0
"113","ALBANO JR RODOLFO B",2010,125,"ISABELA 1","REGION II","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",1,NA,NA,NA,0,0
"114","ALBANO RODITO",2016,125,"ISABELA 1","REGION II","NP",1,NA,NA,"https://www.facebook.com/roditoalbanoisabela; NA",0,0
"115","ALBANO RODOLFO III TAGUINOD",2013,125,"ISABELA 1","II","NATIONALIST PEOPLE'S COALITION",1,NA,NA,"https://www.facebook.com/roditoalbanoisabela; NA",1,0
"116","ALBANO TONYPET",2019,125,"ISABELA 1","REGION II","PDP-LABAN",1,NA,"1035054309073768320","NA; https://www.facebook.com/Tonypet-Albano-506219859428176",0,0
"117","ALCALA IRVIN M",2010,195,"QUEZON 2","REGION IV-A","PARTIDO LIBERAL NG PILIPINAS",1,NA,"973336266","NA; NA",0,0
"118","ALCALA IRVIN M",2016,194,"QUEZON 1","REGION IV-A","LP",0,NA,"973336266","NA; NA",0,0
"119","ALCALA KULIT",2016,195,"QUEZON 2","REGION IV-A","LP",1,NA,NA,"https://www.facebook.com/CongressmanKulitAlcala; https://www.facebook.com/Congressman-Vicente-KulitJ-Alcala-448328998693035; https://www.facebook.com/Congressman-Vicente-kulit-Alcala-324115337729405",0,0
"120","ALCALA PROCY",2019,195,"QUEZON 2","REGION IV-A","LP",0,"Former Secretary of Agriculture (2010 - 2016)",NA,"NA; https://www.facebook.com/procyalcala",0,0
"121","ALCALA VICENTE JARAZA",2013,195,"QUEZON 2","IV-A","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"https://www.facebook.com/CongressmanKulitAlcala; https://www.facebook.com/Congressman-Vicente-KulitJ-Alcala-448328998693035; https://www.facebook.com/Congressman-Vicente-kulit-Alcala-324115337729405",1,0
"122","ALCEBAR DEXTER A",2010,102,"DAVAO CITY 2","REGION XI","INDEPENDENT",0,NA,NA,NA,0,0
"123","ALCISO MAMERTO JR",2019,226,"SURIGAO DEL SUR 2","REGION XIII","PFP",0,NA,NA,"NA",0,0
"124","ALDEGUER JAMES",2019,114,"ILIGAN","REGION X","PFP",0,NA,NA,NA,0,0
"125","ALEGRE EDGAR",2016,243,"ZAMBOANGA SIBUGAY 2","REGION IX","PDP-LABAN",0,NA,"62490973","NA; https://www.facebook.com/alegre2016",0,1
"126","ALEJAGA FREIDING",2016,220,"SULTAN KUDARAT 2","REGION XII","IND",0,NA,NA,NA,0,0
"127","ALFELOR EMMANUEL R",2010,54,"CAMARINES SUR 5","REGION V","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",0,NA,NA,NA,0,0
"128","ALFELOR FELIX JR",2016,54,"CAMARINES SUR 5","REGION V","UNA",0,NA,NA,"NA; NA; https://www.facebook.com/Cong-Felix-Nancing-Rigoroso-Alfelor-Jr-913765922075001",0,0
"129","ALFELOR FELIX JR RIGOROSO",2013,54,"CAMARINES SUR 5","V","NATIONALIST PEOPLE'S COALITION",0,NA,NA,"NA; NA; https://www.facebook.com/Cong-Felix-Nancing-Rigoroso-Alfelor-Jr-913765922075001",0,0
"130","ALFELOR PEACHY",2019,54,"CAMARINES SUR 5","REGION V","NPC",0,NA,NA,"NA; NA; https://www.facebook.com/atepeachyalfelor",1,0
"131","ALFONSO BABY ALINE VARGAS",2013,41,"CAGAYAN 2","II","NUP",1,NA,NA,"NA; https://www.facebook.com/Hon-Baby-Aline-Vargas-Alfonso-Representative-2nd-District-Cagayan-278146128876398",1,0
"132","ALFONSO SAM VARGAS",2019,41,"CAGAYAN 2","REGION II","NUP",1,NA,NA,"NA; NA; https://www.facebook.com/SAMVargasAlfonso.PH",1,0
"133","ALI MADID ELIAS LOPE",2013,138,"LANAO DEL NORTE 1","X","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,"NA",0,0
"134","ALIM JOSHUA",2019,124,"ILOILO CITY","REGION VI","PMP",0,NA,NA,"NA; NA; https://www.facebook.com/OFFICIALpageofOfficeofjca",0,0
"135","ALIPING NICASIO JR MOCNANGAN",2013,15,"BAGUIO CITY","CAR","IND",1,NA,"2527287294","NA; https://www.facebook.com/NicAliping",0,1
"136","ALIPING NICASIO JR MOCNANGAN",2016,15,"BAGUIO","CORDILLERA¬†ADM.¬†REGION","LP",0,NA,"2527287294","NA; https://www.facebook.com/NicAliping",0,1
"137","ALIPING NICASIO JR MOCNANGAN",2019,15,"BAGUIO","CORDILLERA ADM. REGION","LP",0,NA,"2527287294","NA; https://www.facebook.com/NicAliping",0,1
"138","ALIT ARVIN IAN V",2010,227,"TAGUIG CITY","NATIONAL CAPITAL REGION","PARTIDO NACIONALISTA",0,NA,NA,NA,0,0
"139","ALJIBE MAXIMO C",2010,111,"EASTERN SAMAR","REGION VIII","PARTIDO NACIONALISTA",0,NA,NA,NA,0,0
"140","ALLAGA NELSON N",2010,113,"IFUGAO","CORDILLERA ADM. REGION","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",0,NA,NA,"NA",0,0
"141","ALLI URBANO PAUL JR C",2010,209,"SAMAR 2","REGION VIII","INDEPENDENT",0,NA,"851953361570021248","NA; https://www.facebook.com/Banni-Paul-C-Alli-398240310987398",0,1
"142","ALMALBIS GINGGING",2019,56,"CAPIZ 1","REGION VI","UNA",0,NA,NA,"NA",0,0
"143","ALMARIO ALEX G",2010,154,"MASBATE 3","REGION V","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,NA,0,0
"144","ALMARIO JOEL MAYO",2019,109,"DAVAO ORIENTAL 2","REGION XI","PDP-LABAN",1,NA,NA,"NA; https://www.facebook.com/congmayoalmario",0,0
"145","ALMARIO MAYO",2016,109,"DAVAO ORIENTAL 2","REGION XI","LP",1,NA,NA,"NA; https://www.facebook.com/congmayoalmario",1,0
"146","ALMARIO THELMA Z",2010,109,"DAVAO ORIENTAL 2","REGION XI","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",1,NA,NA,"https://www.facebook.com/thelmazalmario",1,0
"147","ALMARIO THELMA ZOSA",2013,109,"DAVAO ORIENTAL 2","XI","LAKAS-CHRISTIAN MUSLIM DEMOCRATS",1,NA,NA,"https://www.facebook.com/thelmazalmario",0,0
"148","ALMAZAN AMADO B",2010,12,"APAYAO","CORDILLERA ADM. REGION","KILUSANG BAGONG LIPUNAN",0,NA,NA,NA,0,0
"149","ALMEDA ANTONIO MARIANO C",2010,47,"CALOOCAN CITY 2","NATIONAL CAPITAL REGION","PARTIDO NACIONALISTA",0,NA,NA,"NA; NA",0,0
"150","ALMENDRAS MINAKING",2016,106,"DAVAO DEL SUR","REGION XI","IND",0,NA,NA,NA,0,0
"151","ALMENDRAS WILHELMINA K",2010,106,"DAVAO DEL SUR 1","REGION XI","PARTIDO NG MANGGAGAWA AT MAGSASAKA",0,NA,NA,NA,0,0
"152","ALMENDRAS WILHELMINA KING",2013,106,"DAVAO DEL SUR 1","XI","IND",0,NA,NA,NA,0,0
"153","ALMONTE JASON",2019,155,"MISAMIS OCCIDENTAL 1","REGION X","NP",0,NA,"1676608896","https://www.facebook.com/jasonparedesalmonte",1,1
"154","ALMONTE JORGE T",2010,155,"MISAMIS OCCIDENTAL 1","REGION X","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",1,NA,"2175388771","NA; https://www.facebook.com/Congressman-Jorge-T-Almonte-141921329172802",0,0
"155","ALMONTE JORGE T",2013,155,"MISAMIS OCCIDENTAL 1","X","PARTIDO LIBERAL NG PILIPINAS",1,NA,"2175388771","NA; https://www.facebook.com/Congressman-Jorge-T-Almonte-141921329172802",0,0
"156","ALMONTE JORGE T",2016,155,"MISAMIS OCCIDENTAL 1","REGION X","LP",1,NA,"2175388771","NA; https://www.facebook.com/Congressman-Jorge-T-Almonte-141921329172802",0,0
"157","ALONTE LEN LEN",2016,28,"BI√ËAN","REGION IV-A","LP",1,NA,NA,"NA; https://www.facebook.com/CityMayorLen; https://www.facebook.com/congresswomanLENAlonte1",1,0
"158","ALONTE LEN LEN",2019,28,"BIÑAN","REGION IV-A","PDP-LABAN",1,NA,NA,"NA; https://www.facebook.com/CityMayorLen; https://www.facebook.com/congresswomanLENAlonte1",1,0
"159","ALONTO ROMMEL",2016,141,"LANAO DEL SUR 2","AUTONOMOUS¬†REGION¬†IN¬†MUSLIM¬†MINDANAO","IND",0,NA,NA,NA,0,0
"160","ALTAMERA ARCELIE VERO",2013,182,"PALAWAN 3","IV-B","IND",0,NA,NA,NA,0,0
"161","ALTAREJOS CICERON",2016,152,"MASBATE 1","REGION V","NP",0,NA,NA,"https://www.facebook.com/Mayor-Ciceron-P-Altarejos-110149750715465; NA",0,0
