can_name_clean,politician_twitterid,followed_by_dict,retweet_count_dict,mentioned_count_dict
DR HIDAYAT NUR WAHID,86012022,{'TMRC15_APAC_3.csv': 1},,
FAHRI HAMZAH SE,120968478,{'TMRC15_APAC_3.csv': 1},,
GANJAR PRANOWO,109762193,{'TMRC15_APAC_3.csv': 1},,
RUHUT POLTAK SITOMPUL SH,219244515,{'TMRC15_APAC_3.csv': 1},,
RAHAYU SARASWATI DJOJOHADIKUSUMO,182421833,{'TMRC15_APAC_3.csv': 1},,
