"","can_name_clean","yr","sub","cst_n","cst","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"1","A GHANI BIN OTHMAN",2013,"JOHOR","DISTRICT 162 (GELANG PATAH)",162,"BARISAN NASIONAL",0,"none",NA,"https://www.facebook.com/AbdulGhaniOthmanGP",0,0
"2","A KOHILAN PILLAY A L G APPU",2013,"SELANGOR","DISTRICT 103 (PUCHONG)",103,"BARISAN NASIONAL",0,"none","628320254","NA",0,0
"3","A PRAKASH RAO",2018,"SELANGOR","DISTRICT 107 (SUNGAI BULOH)",107,"BARISAN NASIONAL",0,"none",NA,"https://www.facebook.com/P107-Subang-181963618621344",0,0
"4","A RAHMAN BIN A HAMID",2018,"JOHOR","DISTRICT 154 (MERSING)",154,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"5","AB AZIZ BIN ABDULLAH",2018,"JOHOR","DISTRICT 159 (PASIR GUDANG)",159,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/AbazizPG; NA",1,0
"6","AB AZIZ BIN KAPRAWI",2013,"JOHOR","DISTRICT 149 (SRI GADING)",149,"BARISAN NASIONAL",1,"Deputy Minister of Transport","612783144","https://www.facebook.com/AbAzizKaprawi",1,1
"7","AB AZIZ BIN KAPRAWI",2018,"JOHOR","DISTRICT 149 (SRI GADING)",149,"BARISAN NASIONAL",0,"none","612783144","https://www.facebook.com/AbAzizKaprawi",1,1
"8","ABANG AHMAD BIN ABANG SUNI",2018,"SARAWAK","DISTRICT 204 (BETONG)",204,"BEBAS",0,"none",NA,"NA",0,0
"9","ABANG AHMAD KERDEE BIN ABANG MASAGUS",2013,"SARAWAK","DISTRICT 197 (KOTA SAMARAHAN)",197,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA; https://www.facebook.com/AbangKerdee",0,0
"10","ABD ALIM SHAPIE",2018,"MELAKA","DISTRICT 139 (JASIN)",139,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/Hj-Abd-Alim-Shapie-869732049846458",1,0
"11","ABD AZIZ BIN SHEIKH FADZIR",2008,"KEDAH","DISTRICT 018 (KULIM BANDAR BAHARU)",18,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",0,"none",NA,"https://www.facebook.com/DatoAbdAzizSheikhFadir",1,0
"12","ABD AZIZ BIN SHEIKH FADZIR",2013,"KEDAH","DISTRICT 018 (KULIM-BANDAR BAHARU)",18,"BARISAN NASIONAL",1,"none",NA,"https://www.facebook.com/DatoAbdAzizSheikhFadir",1,0
"13","ABD GHANI BIN AHMAD",2018,"KEDAH","DISTRICT 005 (JERLUN)",5,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/ustazdrdhaniahmad",0,0
"14","ABD KHALID BIN IBRAHIM",2008,"F.T. KUALA LUMPUR (W.P. KUALA LUMPUR)","DISTRICT 124 (BANDAR TUN RAZAK)",124,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none","36273365","NA",0,1
"15","ABD KHALID BIN IBRAHIM",2013,"W.P. KUALA LUMPUR","DISTRICT 124 (BANDAR TUN RAZAK)",124,"PARTI KEADILAN RAKYAT",1,"none","36273365","NA",0,1
"16","ABDUL AZEEZ BIN ABDUL RAHIM",2008,"KEDAH","DISTRICT 016 (BALING)",16,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",0,"none","581542131","https://www.facebook.com/AzeezRahim",1,1
"17","ABDUL AZEEZ BIN ABDUL RAHIM",2013,"KEDAH","DISTRICT 016 (BALING)",16,"BARISAN NASIONAL",1,"none","581542131","https://www.facebook.com/AzeezRahim",1,1
"18","ABDUL AZEEZ BIN ABDUL RAHIM",2018,"KEDAH","DISTRICT 016 (BALING)",16,"BARISAN NASIONAL",1,"none","581542131","https://www.facebook.com/AzeezRahim",1,1
"19","ABDUL AZIZ BIN BARI",2013,"SELANGOR","DISTRICT 092 (SABAK BERNAM)",92,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/DrAzizBari",0,0
"20","ABDUL FISOL BIN MOHD ISA",2013,"KEDAH","DISTRICT 009 (ALOR STAR)",9,"BARISAN JEMAAH ISLAMIAH SE MALAYSIA",0,"none","1256284171","https://www.facebook.com/ustazfisol",1,1
"21","ABDUL HADI BIN AWANG",2008,"TERENGGANU","DISTRICT 037 (MARANG)",37,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",1,"none","89140088","https://www.facebook.com/abdulhadiawang",1,1
"22","ABDUL HADI BIN AWANG",2013,"TERENGGANU","DISTRICT 037 (MARANG)",37,"PARTI ISLAM SE MALAYSIA",1,"none","89140088","https://www.facebook.com/abdulhadiawang",1,1
"23","ABDUL HADI BIN AWANG",2018,"TERENGGANU","DISTRICT 037 (MARANG)",37,"PARTI ISLAM SE MALAYSIA",1,"none","89140088","https://www.facebook.com/abdulhadiawang",1,1
"24","ABDUL HALIM BIN ABDULLAH",2013,"NEGERI SEMBILAN","DISTRICT 128 (SEREMBAN)",128,"BARISAN JEMAAH ISLAMIAH SE MALAYSIA",0,"none","1724194398","NA",0,0
"25","ABDUL JALIL BUJANG",2018,"SARAWAK","DISTRICT 213 (MUKAH)",213,"PARTI KEADILAN RAKYAT",0,"none","311920098","https://www.facebook.com/abduljalilbujang",1,0
"26","ABDUL LATIFF AHMAD",2008,"JOHOR","DISTRICT 154 (MERSING)",154,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Minister of Health; Deputy Minister of Defence","1321112819937333248","https://www.facebook.com/abdlatiffahmadofficial",1,1
"27","ABDUL LATIFF AHMAD",2013,"JOHOR","DISTRICT 154 (MERSING)",154,"BARISAN NASIONAL",1,"none","1321112819937333248","https://www.facebook.com/abdlatiffahmadofficial",1,1
"28","ABDUL LATIFF AHMAD",2018,"JOHOR","DISTRICT 154 (MERSING)",154,"BARISAN NASIONAL",1,"Minister of Rural and Regional Development","1321112819937333248","https://www.facebook.com/abdlatiffahmadofficial",1,1
"29","ABDUL NASIR BIN AB RAUP",2018,"SABAH","DISTRICT 189 (SEMPORNA)",189,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"30","ABDUL PUHAT BIN MAT NAYAN",2018,"PERAK","DISTRICT 057 (PARIT BUNTAR)",57,"BARISAN NASIONAL",0,"none",NA,"NA; https://www.facebook.com/P057-Abdul-Puhat-Mat-Nayan-1658300604248327",0,0
"31","ABDUL RAHMAN BIN B MAIDIN",2013,"PULAU PINANG","DISTRICT 042 (TASEK GELUGOR)",42,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/dsarm.ipr",0,0
"32","ABDUL RAHMAN BIN MOHAMAD",2013,"PAHANG","DISTRICT 079 (LIPIS)",79,"BARISAN NASIONAL",1,"none",NA,"https://www.facebook.com/abdulrahmanmohamadp079",1,0
"33","ABDUL RAHMAN BIN MOHAMAD",2018,"PAHANG","DISTRICT 079 (LIPIS)",79,"BARISAN NASIONAL",1,"Deputy Minister of Rural Development I",NA,"https://www.facebook.com/abdulrahmanmohamadp079",1,0
"34","ABDUL RAHMAN DAHLAN",2008,"SABAH","DISTRICT 169 (KOTA BELUD)",169,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"none","33232799","https://www.facebook.com/rahmandahlan.my",1,1
"35","ABDUL RAHMAN DAHLAN",2013,"SABAH","DISTRICT 169 (KOTA BELUD)",169,"BARISAN NASIONAL",1,"Minister of Urban Wellbeing, Housing and Local Government ; Minister in the Prime Minister's Department: Economic Planning Unit","33232799","https://www.facebook.com/rahmandahlan.my",1,1
"36","ABDUL RAHMAN DAHLAN",2018,"SABAH","DISTRICT 171 (SEPANGGAR)",171,"BARISAN NASIONAL",0,"none","33232799","https://www.facebook.com/rahmandahlan.my",1,1
"37","ABDULLAH BIN HAJI AHMAD",2008,"PENANG (PULAU PINANG)","DISTRICT 041 (KEPALA BATAS)",41,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"5th Prime Minister; Minister of Defence",NA,"https://www.facebook.com/Galeri-Tun-Abdullah-Ahmad-Badawi-471855662904119",0,0
"38","ABDULLAH BIN IDERIS",2008,"JOHOR","DISTRICT 161 (PULAI)",161,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",0,"none",NA,"NA",0,0
"39","ABDULLAH BIN MAT YASIM",2018,"KELANTAN","DISTRICT 023 (RANTAU PANJANG)",23,"BARISAN NASIONAL",0,"none",NA,"NA",0,0
"40","ABDULLAH HASNAN BIN KAMARUDDIN",2018,"KEDAH","DISTRICT 010 (KUALA KEDAH)",10,"BARISAN NASIONAL",0,"none",NA,"NA; NA",0,0
"41","ABE NOR",2018,"KELANTAN","DISTRICT 032 (GUA MUSANG)",32,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/p32guamusang",0,0
"42","ABU BAKAR BIN MOHAMAD DIAH",2013,"MELAKA","DISTRICT 136 (TANGGA BATU)",136,"BARISAN NASIONAL",1,"Deputy Minister of Science, Technology and Innovation",NA,"https://www.facebook.com/DatukWiraDrAbuBakar",0,0
"43","ABU SEMAN YUSOP",2008,"MELAKA","DISTRICT 134 (MASJID TANAH)",134,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Minister of Defence; Deputy Minister of Home Affairs","404600601","NA",0,1
"44","ABUN SUI ANYIT",2013,"SARAWAK","DISTRICT 216 (HULU RAJANG)",216,"PARTI KEADILAN RAKYAT",0,"none","142836440","NA",0,1
"45","ABUN SUI ANYIT",2018,"SARAWAK","DISTRICT 216 (HULU RAJANG)",216,"PARTI KEADILAN RAKYAT",0,"none","142836440","NA",0,1
"46","ADNAN BIN SEMAN",2018,"W.P. KUALA LUMPUR","DISTRICT 124 (BANDAR TUN RAZAK)",124,"BARISAN NASIONAL",0,"none","181836970","https://www.facebook.com/Adnan-Seman-111448802234143; NA",0,1
"47","ADNAN BIN WAN MAMAT",2013,"PAHANG","DISTRICT 082 (INDERA MAHKOTA)",82,"BARISAN NASIONAL",0,"none",NA,"NA",0,0
"48","ADZHALIZA BINTI MOHD NOR",2013,"SELANGOR","DISTRICT 101 (HULU LANGAT)",101,"BARISAN NASIONAL",0,"none",NA,"NA",0,0
"49","AFFENDI BIN JEMAN",2013,"SARAWAK","DISTRICT 193 (SANTUBONG)",193,"INDEPENDENT",0,"none",NA,"NA",0,0
"50","AFNAN HAMIMI BIN TAIB AZAMUDDEN",2013,"PULAU PINANG","DISTRICT 041 (KEPALA BATAS)",41,"PARTI ISLAM SE MALAYSIA",0,"none","455430297","https://www.facebook.com/afnanhamimitaibazamudden",1,1
"51","AFNAN HAMIMI BIN TAIB AZAMUDDEN",2018,"PULAU PINANG","DISTRICT 044 (PERMATANG PAUH)",44,"PARTI ISLAM SE MALAYSIA",0,"none","455430297","https://www.facebook.com/afnanhamimitaibazamudden",1,1
"52","AH CHONG  CHONG SIN WOON",2018,"NEGERI SEMBILAN","DISTRICT 128 (SEREMBAN)",128,"BARISAN NASIONAL",0,"none","135196823","https://www.facebook.com/chongsinwoon; https://www.facebook.com/AhChongSinWoon",1,1
"53","AHMAD AZHAR HAJI SHARIN",2018,"PERAK","DISTRICT 057 (PARIT BUNTAR)",57,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/P057ParitBuntar",0,0
"54","AHMAD BAIHAKI BIN ATIQULLAH",2013,"KELANTAN","DISTRICT 024 (KUBANG KERIAN)",24,"PARTI ISLAM SE MALAYSIA",1,"none",NA,"NA",0,0
"55","AHMAD BIN HAMZAH",2008,"MELAKA","DISTRICT 139 (JASIN)",139,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"none","2257786765","https://www.facebook.com/tokmathamzah",0,1
"56","AHMAD BIN HAMZAH",2013,"MELAKA","DISTRICT 139 (JASIN)",139,"BARISAN NASIONAL",1,"none","2257786765","https://www.facebook.com/tokmathamzah",0,1
"57","AHMAD BIN HAMZAH",2018,"MELAKA","DISTRICT 139 (JASIN)",139,"BARISAN NASIONAL",1,"Deputy Minister of Agriculture and Food Industries 1","2257786765","https://www.facebook.com/tokmathamzah",0,1
"58","AHMAD BIN HASSAN",2018,"SABAH","DISTRICT 175 (PAPAR)",175,"PARTI WARISAN SABAH",1,"none",NA,"https://www.facebook.com/YB-Hj-Ahmad-Hassan-P175-Papar-238078373749751",0,0
"59","AHMAD BIN KASIM",2008,"KEDAH","DISTRICT 010 (KUALA KEDAH)",10,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none",NA,"https://www.facebook.com/Yb-Dato-Paduka-Ahmad-Bin-Kasim-344949179581291",1,0
"60","AHMAD BIN MASLAN",2008,"JOHOR","DISTRICT 164 (PONTIAN)",164,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Minister in the Prime Minister Department","89654231","https://www.facebook.com/ahmad.maslan.official",1,1
"61","AHMAD BIN MASLAN",2013,"JOHOR","DISTRICT 164 (PONTIAN)",164,"BARISAN NASIONAL",1,"Deputy Minister of Finance ; Deputy Minister of International Trade and Industries","89654231","https://www.facebook.com/ahmad.maslan.official",1,1
"62","AHMAD BIN MASLAN",2018,"JOHOR","DISTRICT 164 (PONTIAN)",164,"BARISAN NASIONAL",1,"none","89654231","https://www.facebook.com/ahmad.maslan.official",1,1
"63","AHMAD FAIDHI BIN SAIDI",2013,"JOHOR","DISTRICT 159 (PASIR GUDANG)",159,"PARTI KEADILAN RAKYAT",0,"none",NA,"NA",0,0
"64","AHMAD FAIZAL DATO AZUMU",2018,"PERAK","DISTRICT 063 (TAMBUN)",63,"PARTI KEADILAN RAKYAT",1,"none","1040423091568959360","https://www.facebook.com/pejaofperak",1,1
"65","AHMAD FAUZI BIN ZAHARI",2013,"W.P. KUALA LUMPUR","DISTRICT 118 (SETIAWANGSA)",118,"BARISAN NASIONAL",1,"none","1373999430","https://www.facebook.com/DatoAhmadFauziZahari; NA",1,0
"66","AHMAD HUSNI BIN MOHAMAD HANADZLAH",2008,"PERAK","DISTRICT 063 (TAMBUN)",63,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Minister of Finance I; Second Minister of Finance",NA,"https://www.facebook.com/DSHHfans.MantanMenteriKewangan2",1,0
"67","AHMAD HUSNI BIN MOHAMAD HANADZLAH",2013,"PERAK","DISTRICT 063 (TAMBUN)",63,"BARISAN NASIONAL",1,"Second Minister of Finance",NA,"NA",1,0
"68","AHMAD JAZLAN BIN YAAKUB",2013,"KELANTAN","DISTRICT 029 (MACHANG)",29,"BARISAN NASIONAL",1,"Deputy Minister of Rural and Regional Development","438954435","https://www.facebook.com/ahmadjazlanyaakub",1,1
"69","AHMAD JAZLAN BIN YAAKUB",2018,"KELANTAN","DISTRICT 029 (MACHANG)",29,"BARISAN NASIONAL",1,"none","438954435","https://www.facebook.com/ahmadjazlanyaakub",1,1
"70","AHMAD JOHNIE BIN ZAWAWI",2018,"SARAWAK","DISTRICT 207 (IGAN)",207,"BARISAN NASIONAL",1,"none","988702497412759680","NA",0,1
"71","AHMAD MARZUK BIN SHAARY",2013,"KELANTAN","DISTRICT 025 (BACHOK)",25,"PARTI ISLAM SE MALAYSIA",1,"none","364286239","https://www.facebook.com/marzukshaary; NA",1,1
"72","AHMAD MARZUK BIN SHAARY",2018,"KELANTAN","DISTRICT 020 (PENGKALAN CHEPA)",20,"PARTI ISLAM SE MALAYSIA",1,"Deputy Minister in Prime Minister's Department: Religious Affairs","364286239","https://www.facebook.com/marzukshaary; NA",1,1
"73","AHMAD NAWFAL BIN MAHFODZ",2018,"JOHOR","DISTRICT 143 (PAGOH)",143,"PARTI ISLAM SE MALAYSIA",0,"none","1249233982169874432","https://www.facebook.com/nawfalmahfodz; NA",1,1
"74","AHMAD NAZIB BIN JOHARI",2013,"SARAWAK","DISTRICT 194 (PETRA JAYA)",194,"PARTI KEADILAN RAKYAT",0,"none","81291533","https://www.facebook.com/anjohari23",0,1
"75","AHMAD NAZLAN BIN IDRIS",2013,"PAHANG","DISTRICT 081 (JERANTUT)",81,"BARISAN NASIONAL",1,"none",NA,"https://www.facebook.com/Horahoreee; NA",1,0
"76","AHMAD NIZAM BIN HAMID",2008,"PAHANG","DISTRICT 088 (TEMERLOH)",88,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",0,"none","166647733","https://www.facebook.com/ahmadnizampkr",0,1
"77","AHMAD ROSDI BIN BAHARI",2018,"JOHOR","DISTRICT 147 (PARIT SULONG)",147,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"78","AHMAD ROSDI BIN MAHMAD",2008,"KELANTAN","DISTRICT 022 (PASIR MAS)",22,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",0,"none","376641128","NA",0,1
"79","AHMAD SHABERY BIN CHEEK",2008,"TERENGGANU","DISTRICT 040 (KEMAMAN)",40,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Minister of Information; Minister of Youth and Sports","181098480","https://www.facebook.com/ShaberyC",1,1
"80","AHMAD SHABERY BIN CHEEK",2013,"TERENGGANU","DISTRICT 040 (KEMAMAN)",40,"BARISAN NASIONAL",1,"Minister of Communications and Multimedia ; Minister of Agriculture and Agro-based Industry","181098480","https://www.facebook.com/ShaberyC",1,1
"81","AHMAD SHABERY BIN CHEEK",2018,"TERENGGANU","DISTRICT 040 (KEMAMAN)",40,"BARISAN NASIONAL",0,"none","181098480","https://www.facebook.com/ShaberyC",1,1
"82","AHMAD THAMRIN  TAMRIN B MOHD JAINI",2008,"SABAH","DISTRICT 184 (LIBARAN)",184,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",0,"none",NA,"https://www.facebook.com/Ahmad-Thamrin-Hj-Jaini-484953578202228",0,0
"83","AHMAD ZAHID BIN HAMIDI",2008,"PERAK","DISTRICT 075 (BAGAN DATOK)",75,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Minister in Prime Minister Department; Minister of Defence","1063271343553052672","https://www.facebook.com/zahidhamidi.fanpage",1,1
"84","AHMAD ZAHID BIN HAMIDI",2013,"PERAK","DISTRICT 075 (BAGAN DATOK)",75,"BARISAN NASIONAL",1,"Deputy Prime Minister ; Minister of Home Affairs","1063271343553052672","https://www.facebook.com/zahidhamidi.fanpage",1,1
"85","AHMAD ZAHID BIN HAMIDI",2018,"PERAK","DISTRICT 075 (BAGAN DATUK)",75,"BARISAN NASIONAL",1,"none","1063271343553052672","https://www.facebook.com/zahidhamidi.fanpage",1,1
"86","AHMAD ZAMRI BIN ASA AD KHUZAMI",2013,"W.P. KUALA LUMPUR","DISTRICT 119 (TITIWANGSA)",119,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"87","AJIJI BIN FAUZAN",2013,"SARAWAK","DISTRICT 207 (IGAN)",207,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"88","AKHRAMSYAH BIN SANUSI JUNID",2018,"KEDAH","DISTRICT 012 (JERAI)",12,"PARTI KEADILAN RAKYAT",0,"none","45594358","NA",0,1
"89","AKMAL NASIR",2018,"JOHOR","DISTRICT 160 (JOHOR BAHRU)",160,"PARTI KEADILAN RAKYAT",1,"none","90040600","NA",0,1
"90","ALEXANDER NANTA LINGGI",2008,"SARAWAK","DISTRICT 215 (KAPIT)",215,"NATIONAL FRONT",1,"none","1244581969293279232","https://www.facebook.com/alexnantalinggi",1,1
"91","ALEXANDER NANTA LINGGI",2013,"SARAWAK","DISTRICT 215 (KAPIT)",215,"BARISAN NASIONAL",1,"Deputy Minister of Rural and Regional Development","1244581969293279232","https://www.facebook.com/alexnantalinggi",1,1
"92","ALEXANDER NANTA LINGGI",2018,"SARAWAK","DISTRICT 215 (KAPIT)",215,"BARISAN NASIONAL",1,"Minister of Domestic Trade and Consumer Affairs","1244581969293279232","https://www.facebook.com/alexnantalinggi",1,1
"93","ALFIAN BIN MANSYUR",2018,"SABAH","DISTRICT 184 (LIBARAN)",184,"PARTI HARAPAN RAKYAT SABAH",0,"none",NA,"https://www.facebook.com/AlfianBinMansyur",0,0
"94","ALI ANAK BIJU",2013,"SARAWAK","DISTRICT 205 (SARATOK)",205,"PARTI KEADILAN RAKYAT",0,"none","1278228943762415616; 722995184","https://www.facebook.com/AliBiju",1,1
"95","ALI ANAK BIJU",2018,"SARAWAK","DISTRICT 205 (SARATOK)",205,"PARTI KEADILAN RAKYAT",1,"Deputy Minister of Energy and Natural Resources","1278228943762415616; 722995184","https://www.facebook.com/AliBiju",1,1
"96","ALIAS BIN ZENON",2008,"PERAK","DISTRICT 061 (PADANG RENGAS)",61,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",0,"none",NA,"NA",0,0
"97","ALICE LAU KIONG YIENG",2013,"SARAWAK","DISTRICT 211 (LANANG)",211,"PARTI TINDAKAN DEMOKRATIK",1,"none","47222142","https://www.facebook.com/alicelky",1,1
"98","ALICE LAU KIONG YIENG",2018,"SARAWAK","DISTRICT 211 (LANANG)",211,"DEMOCRATIC ACTION PARTY",1,"none","47222142","https://www.facebook.com/alicelky",1,1
"99","ALIZAMAN BIN JIJURAHMAN",2018,"SABAH","DISTRICT 190 (TAWAU)",190,"PARTI HARAPAN RAKYAT SABAH",0,"none",NA,"NA",0,0
"100","AMIN AHMAD",2018,"PERLIS","DISTRICT 002 (KANGAR)",2,"PARTI KEADILAN RAKYAT",1,"none","102471773","NA; https://www.facebook.com/Amin-Ahmad-Ahli-Parlimen-Kangar-1664976476940895",0,1
"101","AMINUR SHAFIQ",2018,"KEDAH","DISTRICT 009 (ALOR SETAR)",9,"PARTI ISLAM SE MALAYSIA",0,"none","1378756473933627392","NA",0,0
"102","AMIRUL FAIRUZZEEN",2018,"PERAK","DISTRICT 055 (LENGGONG)",55,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/amirulfairuzzeenjamaluddin",0,0
"103","AMRAN BIN AB GHANI",2008,"KELANTAN","DISTRICT 027 (TANAH MERAH)",27,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none","337182023","NA",0,1
"104","ANAI ZULAI",2018,"SARAWAK","DISTRICT 218 (SIBUTI)",218,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/PASKawasanSibuti",0,0
"105","ANDAU BIN YASUN  BRUNO",2018,"SABAH","DISTRICT 179 (RANAU)",179,"PARTI CINTA SABAH",0,"none",NA,"NA",0,0
"106","ANDY YONG KIM SENG",2018,"PULAU PINANG","DISTRICT 048 (BUKIT BENDERA)",48,"BARISAN NASIONAL",0,"none",NA,"NA",0,0
"107","ANG CHIN TAT",2018,"SELANGOR","DISTRICT 103 (PUCHONG)",103,"BARISAN NASIONAL",0,"none",NA,"NA",0,0
"108","ANIS AFIDA",2018,"JOHOR","DISTRICT 147 (PARIT SULONG)",147,"PARTI KEADILAN RAKYAT",0,"none","1127628674","https://www.facebook.com/anisafidaofficial",0,1
"109","ANN TAN EAN EAN",2018,"W.P. KUALA LUMPUR","DISTRICT 120 (BUKIT BINTANG)",120,"BARISAN NASIONAL",0,"none",NA,"https://www.facebook.com/ANN-TAN-%E9%99%B3%E7%87%95%E7%87%95-164803120816911/community",0,0
"110","ANNUAR BIN MUSA",2008,"KELANTAN","DISTRICT 026 (KETEREH)",26,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",0,"none","273993462","https://www.facebook.com/AnnuarMusa",1,1
"111","ANNUAR BIN MUSA",2013,"KELANTAN","DISTRICT 026 (KETEREH)",26,"BARISAN NASIONAL",1,"none","273993462","https://www.facebook.com/AnnuarMusa",1,1
"112","ANNUAR BIN MUSA",2018,"KELANTAN","DISTRICT 026 (KETEREH)",26,"BARISAN NASIONAL",1,"Minister of Federal Territories","273993462","https://www.facebook.com/AnnuarMusa",1,1
"113","ANTHONY BIRI MANDIAU",2008,"SABAH","DISTRICT 168 (KOTA MARUDU)",168,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",0,"none",NA,"https://www.facebook.com/Anthony-Mandiau-281592005265583",1,0
"114","ANTHONY TIBOK",2008,"SABAH","DISTRICT 174 (PENAMPANG)",174,"INDIVIDUAL",0,"none",NA,"NA",0,0
"115","ANUAR BIN ABD MANAP",2013,"JOHOR","DISTRICT 141 (SEKIJANG)",141,"BARISAN NASIONAL",1,"none","181896936","NA; NA",0,1
"116","ANUAR BIN SAFIAN",2013,"KELANTAN","DISTRICT 024 (KUBANG KERIAN)",24,"BARISAN NASIONAL",0,"none","1882891578","NA",0,0
"117","ANWAR BIN IBRAHIM",2013,"PULAU PINANG","DISTRICT 044 (PERMATANG PAUH)",44,"PARTI KEADILAN RAKYAT",1,"none","1839871","NA",0,1
"118","ANYI NGAU",2013,"SARAWAK","DISTRICT 220 (BARAM)",220,"BARISAN NASIONAL",1,"none",NA,"NA",0,0
"119","ANYI NGAU",2018,"SARAWAK","DISTRICT 220 (BARAM)",220,"BARISAN NASIONAL",1,"none",NA,"NA",0,0
"120","APALASAMY A L JATALIAH",2008,"PAHANG","DISTRICT 078 (CAMERON HIGHLANDS)",78,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-DEMOCRATIC ACTION PARTY)",0,"none",NA,"NA",0,0
"121","ARTHUR JOSEPH KURUP",2018,"SABAH","DISTRICT 182 (PENSIANGAN)",182,"BARISAN NASIONAL",1,"Deputy Minister in the Prime Minister's Department: Economy","623469818","https://www.facebook.com/ArthurJosephKurup",1,0
"122","ASMARA BIN ASMAD",2018,"SABAH","DISTRICT 189 (SEMPORNA)",189,"PARTI HARAPAN RAKYAT SABAH",0,"none",NA,"NA; NA",0,0
"123","ASYRAF WAJDI BIN DUSUKI",2008,"KELANTAN","DISTRICT 019 (TUMPAT)",19,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",0,"none","298383054","https://www.facebook.com/drasyrafwajdidusuki",1,1
"124","ASYRAF WAJDI BIN DUSUKI",2018,"KELANTAN","DISTRICT 028 (PASIR PUTEH)",28,"BARISAN NASIONAL",0,"none","298383054","https://www.facebook.com/drasyrafwajdidusuki",1,1
"125","ATA ABDUL MUNEIM DATO HASAN ADLI",2018,"PERAK","DISTRICT 075 (BAGAN DATUK)",75,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/AtaHasanAdliP075",0,0
"126","AWANG AHMAD SAH",2013,"SABAH","DISTRICT 173 (PUTATAN)",173,"PARTI REFORMASI NEGERI",0,"none",NA,"https://www.facebook.com/PartiWarisanP173Putatan",0,0
"127","AWANG HUSAINI BIN DATUK SAHARI",2018,"SABAH","DISTRICT 173 (PUTATAN)",173,"PARTI KEADILAN RAKYAT",1,"none",NA,"https://www.facebook.com/YB-Awang-Husaini-Bin-Datuk-Sahari-Ahli-Parlimen-P173-Putatan-182557945907494; NA",0,0
"128","AZALINA OTHMAN SAID",2008,"JOHOR","DISTRICT 157 (PENGERENG)",157,"NATIONAL FRONT",1,"Minister of Tourism","3302051755","https://www.facebook.com/ybaos",1,1
"129","AZALINA OTHMAN SAID",2013,"JOHOR","DISTRICT 157 (PENGERANG)",157,"BARISAN NASIONAL",1,"
Minister in the Prime Minister's Department","3302051755","https://www.facebook.com/ybaos",1,1
