"","can_name_clean","yr","sub","cst_n","cst","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"1012","RAJ MUNNI BINTI SABU",2013,"NEGERI SEMBILAN","DISTRICT 126 (JELEBU)",126,"PARTI ISLAM SE MALAYSIA",0,"none","348534956","https://www.facebook.com/AIMAN-ATHIRAH-AL-JUNDI-SAC-LOGAN-276462815707532; https://www.facebook.com/Aiman-Athirah-Al-Jundi-639585376056020",0,0
"1013","RAJA KAMARUL BAHRIN SHAH",2013,"TERENGGANU","DISTRICT 036 (KUALA TERENGGANU)",36,"PARTI ISLAM SE MALAYSIA",1,"none","986028581959561216","NA",0,1
"1014","RAJA KAMARUL BAHRIN SHAH",2018,"TERENGGANU","DISTRICT 036 (KUALA TERENGGANU)",36,"PARTI KEADILAN RAKYAT",0,"Deputy Minister of Housing and Local Government","986028581959561216","NA",0,1
"1015","RAJA NONG CHIK BIN RAJA ZAINAL ABIDIN",2013,"W.P. KUALA LUMPUR","DISTRICT 121 (LEMBAH PANTAI)",121,"BARISAN NASIONAL",0,"none","32956466","NA; https://www.facebook.com/rajanongchikpage",1,1
"1016","RAJA NONG CHIK BIN RAJA ZAINAL ABIDIN",2018,"W.P. KUALA LUMPUR","DISTRICT 121 (LEMBAH PANTAI)",121,"BARISAN NASIONAL",0,"none","32956466","NA; https://www.facebook.com/rajanongchikpage",1,1
"1017","RAMAKRISHNAN A L SUPPIAH",2013,"JOHOR","DISTRICT 142 (LABIS)",142,"PARTI TINDAKAN DEMOKRATIK",0,"none","4583382469","https://www.facebook.com/ybdrramakrishnan; NA",0,1
"1018","RAMKARPAL SINGH A L KARPAL SINGH",2018,"PULAU PINANG","DISTRICT 051 (BUKIT GELUGOR)",51,"PARTI KEADILAN RAKYAT",1,"none","2481462403","https://www.facebook.com/ramkarpal",1,1
"1019","RAMLE BIN DUA  RAMLI DUA LEE",2013,"SABAH","DISTRICT 178 (SIPITANG)",178,"PARTI KEADILAN RAKYAT",0,"none",NA,"NA",0,0
"1020","RAMLI ANAK MALAKA",2013,"SARAWAK","DISTRICT 215 (KAPIT)",215,"PARTI TINDAKAN DEMOKRATIK",0,"none","438771061","NA",0,1
"1021","RAMLI BIN PATARUDDIN",2018,"SABAH","DISTRICT 188 (SILAM)",188,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"1022","RAMLI SHARIFF",2018,"PERLIS","DISTRICT 002 (KANGAR)",2,"BARISAN NASIONAL",0,"none",NA,"NA",0,0
"1023","RAMSAH BIN TASHIM",2008,"SABAH","DISTRICT 183 (BELURAN)",183,"INDIVIDUAL",0,"none",NA,"NA",0,0
"1024","RAMZAH BIN AHMAD",2008,"SABAH","DISTRICT 173 (PUTATAN)",173,"INDIVIDUAL",0,"none",NA,"NA",0,0
"1025","RASHID BIN DIN",2008,"KEDAH","DISTRICT 014 (MERBOK)",14,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none",NA,"NA",0,0
"1026","RAVEENDRAN A L M VALLIKANA",2013,"PERAK","DISTRICT 056 (LARUT)",56,"INDEPENDENT",0,"none",NA,"NA",0,0
"1027","RAYMOND BIN AHUAR",2018,"SABAH","DISTRICT 182 (PENSIANGAN)",182,"PARTI KEADILAN RAKYAT",0,"none","1303560401141989120","https://www.facebook.com/RaymondAhuarOfficial",0,1
"1028","RAZALI IBRAHIM",2008,"JOHOR","DISTRICT 146 (MUAR)",146,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Minister of Youth and Sports","27825927","https://www.facebook.com/datorazaliibrahim",1,1
"1029","RAZALI IBRAHIM",2013,"JOHOR","DISTRICT 146 (MUAR)",146,"BARISAN NASIONAL",1,"Deputy Minister in Prime Minister's Department","27825927","https://www.facebook.com/datorazaliibrahim",1,1
