userid,twitterid
977899219385073666,tidurgua
1333457812387549184,eikkeeh_
1448942002821742605,AbdHafid_105
1261407231964258304,MUTUALLANDFESS
1203709185570983938,nelsinner
829944011834028032,altersquare18
736269223215792128,frecklesfelixeu
1309681568420569089,614NTARES
1428949310826180608,jaemstokki
1121674278812839936,cakeinkookie
1264068330148655106,sstrcloud
1274751097828028416,rayvseveryone
1439166896956317700,mintcohoco
1175351234644992000,introvert_lupin
1443460370199240707,YANGIN01_
1407868063001706497,chop0ps1
1296440046099132418,tiwayie_
1427373445180887050,meilyys
1422605482082979843,dxirymilk
946322930031403008,WE_THE_BOYZ
1241914844393009153,nasrii_045
366987179,jokowi
282006208,mohmahfudmd
905987034388381696,PemprovPapua
1288684029022056449,nadiemmakarim
47596019,liputan6dotcom
125225621,TRANSTV_CORP
23772644,BBCIndonesia
124696652,ntsana_
397673651,Gerindra
2584598134,rjmxrell
1310415148184600577,sosmedkeras
1377288210238201856,jaemiilk
1308071789575110658,nctindomoots
1300700689648164865,jyfloww
1262672152312057856,realprkly
1255453797515657217,eriaraa
1359712743452856325,fortaeggukv
1199330134999724032,xlsb_ccdksh
1291010873243258880,cheesehunaoh
1014726726994182145,paoxiofii
138290629,DivHumas_Polri
4068016160,tni_ad
4780649298,Dennysiregar7
124839730,TRANS7
55507370,tvOneNews
34632273,KuntoAjiW
1129132790178443264,byunocracy
918126676944371718,mahaeunited
1331543533942046720,hitinkerbell_
1201017587196317696,baeki_100hyun
1296643411064131584,akunyakul
956888370,pledis_17
1145547527048982530,boboiboyjisung
567876490,ustadchen
1240833726042365952,dialoglara
1482271781788340225,darxworld_
1078202134137495552,prill___
1255747163977478146,yaelahbadut
190924467,rockygerung
1233156993625411584,luvvpjmm
97205020,nctzemn
1282225558055579649,RaRainbowww_
1295615029870342146,hwangcanya
1275759118360301568,dinjk_
1354682818534621189,mtchaaltte
1000214682530074624,B_hundred_Hyun
268718494,ArnoldPoernomo
1285474730242265088,khofifahjatim
1349639222160867330,YudiPrayo
1316576500724842498,AisyahDelina
1352453588493058049,DessitaMaharani
1348554826037161984,Zulkifloyoy
1358709638519164934,TubagusRahman6
1314430835886489601,RatnaEnny
1303883698207563782,MegaApr28967251
1306493753260040192,AisyahIntana
1306487753069084672,SyifaSa46339140
1367102754108280832,ayunita_laila
1160192276179513349,zahrazll
1292144578510782465,sadarrdirii
1213332644202569730,Ayeniepang
911369443418050560,StoneCoatEpoxy
1298627580996640769,billaameliaa
860790461518069761,pirigurl
1363477613398822914,ellalyurjn
1358708013922541571,rabbitsnoow
1110530099860766720,bucinn_jaehyun
2264025006,wuoodz
1297197192449425410,xy_dandelion
1869956672,paxntek
1395201615326420993,shidneen
1343725303814737921,mathclown_
1022795342218055680,wisrdom
1312564843174457345,sooxxxooo
2282146316,E4rthSea
1340976752001052678,imstillallive
1352573873598783489,bbhl23
1312263346352087040,tenalice3112
1322129462876536832,spicyscxrpio
73835939,bas1234516
1273850774380883975,BLACKPINK
1084557086162210816,anyaselalubenar
1277818620886675461,rickopujianto
1263770226165874690,Menyambar__
1103544397868789760,mr_wemz
1659753438,Toptap_jirakit
384270686,rizky_febian
1334583892842479616,andriits__
1424244876279906304,adiitttttttt_
1435189928141332484,vantaenv_
1381430221291745284,cypsjjk
1439783416765976578,seloek
990498251865444352,thexxxspace
1313168229125124096,bukan___buaya
1344739050377252864,ciounxh
873811698607464449,baseyaoinakal
233506341,MadeRianto
289265934,septianac
44061866,disayang_mertua
443873850,kojaaack
1322185352619020288,sunmoonrii
2503485216,nctzenbase
1353803402917015552,lalaaJKT48
1207580273476374528,day6confess
1338743972777234432,ppodongie
1346677471186309120,wonpppil
1365157119721283584,arrunika
69183155,detikcom
23343960,kompascom
456426648,merdekadotcom
968824035239866368,TribunIndo
1213712709423812609,AndiSmrtn
1231573139383050240,desiindrianii
1315839189779243009,alyybbh
