userid,twitterid
928593319210442753,['08RI7yBfs3XkWjF']
902783812987482112,['ICd0FJ5I5BNJ0vO']
1475872464,['taisagor9ff']
756321354539003908,['isaevantuan']
339311442,['maksmkas6g']
745790133274804225,['dgromovge']
1017843312785547264,['nikXSL9DKeoXucS']
910185551948476416,['Jeremy98Wells']
902799830925406208,['2jCAoSRyqOAe6Li']
747307992018628610,['rodionovaavgus4']
58615166,['Licuwangxiaoyua']
930561360349487104,['elizabe97647185']
921011661409886210,['fulai45fulai']
28011774,['pansdustruka198']
747745305886625792,['Alla20499513']
352640669,['liyiyiyu']
127125026,['valentinax5w1sw']
923387595400167424,['wangxs616']
2991885448,['abimyk8qbor']
4909835795,['andreq1234']
925703706548432897,['tttkyhuo']
927170995298770944,['mdzyuann']
926817621005103109,['lady100003']
81136659,['jdhdnchsdh']
747308097648005124,['klementinafomi3']
870957984221986816,['contridfiso1979']
925546221267062784,['zhongqiuyue8811']
983557999125024769,['Rodrigu14132402']
903061563132616704,['buganpinfan7788']
374784119,['sunt1uli']
926229598655991808,['carriejackson67']
747289319384055808,['dengni0']
105936240,['Thaksinvoice']
260536895,['motor0529']
925969554710265856,['zhongqiu771']
4726278994,['TheresaAndersox']
917071464901365760,['SukovskayaMarya']
122337743,['charikamci']
891010232167653376,['RMTQlg6JhGecY9O']
898929850047660032,['kjksldfhfdslk']
747335622520504320,['oliverafanasev1']
902780147132235777,['qo9BdiegvvyZyjG']
918707775970058241,['asdrit123']
4776271152,['goodman007788']
825851272515375105,['TongrenThai']
1194750901,['aptib08e7']
412332494,['Tgsafsh']
747309665994706945,['ponomarevaippo2']
910845288352382977,['yuekong12']
979181147686035456,['mH6OwMaYxK33tpT']
158077925,['Eobvmae36']
925893690899308544,['guodaj221']
513628769,['kasandra6qvan']
908589031944081408,['bagaudinzhigj']
1071546669626478593,['Baxiaoijin']
929081058703769600,['lujunhelei56']
4643144382,['i28468404206241']
4641957133,['_srk_Ciell']
925366015772561408,['iuliakazantsev8']
1107793288751443968,['HermelindaCopl1']
747288937899556866,['zvenislavasave2']
885045188967747585,['woshichuanqi198']
898511924488540160,['dkB3R9ChInh9ntk']
756312090323877888,['IgnatovRunar']
2169411427,['tyatyanak76t']
4175185286,['serkalibodj']
928154403902709760,['PaigeVeill']
4190875581,['shaunta58sh']
925967889445806080,['zhongqiu8817']
2381868864,['BigIdea_2014']
363345298,['emiliya_naum']
325103066,['ardansuweb']
1314463177,['Justapbldkkxg']
2346026113,['sanrojorlind']
920267661929361408,['Ackroyd69059993']
925544449643393024,['zhongqiuyue8971']
1913039600,['karlissux']
2824137700,['pfehunleade']
455662560,['ephmictived']
870957478489534464,['softrepllori191']
912921969972129793,['Terry17Arthur']
898019248341106688,['sivalevleha']
1017843812998221824,['6z1MGV9pkrLAYZc']
746020267785355264,['benjaminsparks7']
910187085910360064,['Angela67Polanco']
928617479617724416,['ddsgar2']
1071396817772965888,['J8Qu1G6VsEscsJH']
898932019719270402,['Evgenanlchen']
78622448,['RebeccaBakerx']
916913873021579264,['Sharo11Tram']
916845059890323457,['Julie11Fair']
114444282,['ChristopherH195']
942978698,['jcbhz']
919889008804610050,['Bowman81Lori2']
902698040485703682,['JaganmohanH']
902807566245384192,['btlzMupYxFYxZzZ']
902802173200871424,['15qH9tP8E380Fkg']
1221521358,['WhisenantjepMau']
909757965225181185,['ntLqAPMGIJoOJBT']
137233686,['antong79o']
1312623488,['Daynajefjwhok']
902855097008496646,['ISfVQ1b1vwAK9IP']
898511323503480832,['xyhxdfdrbbhnJjY']
910178715102961664,['Bowman81Lori']
3776371692,['afstalrecza']
919204585167826944,['3GHmM1M6qiQ3q7g']
898518608606875648,['1JdLgwx4zmh73lQ']
756322301931556864,['belousov_rustem']
19734474,['gregg1mptsturdy']
924437905577299968,['svetlanaiakupo2']
924389078606471170,['bashkirova2228']
911530167599644673,['lovelava001']
920266326274228229,['Achille81079099']
926264030527926272,['dalierri']
920171980346744832,['moli445moli']
898929649987854336,['oujllksf']
926494110017392640,['Tang8236Scott']
892887318310375425,['aleksandrsaito4']
917114092074172416,['Eremin1044Slava']
924426505832185856,['tangsengm']
929080598123003904,['lujunhelei54']
902797910496219137,['B14p0i2qpwu4NRR']
902781431323209728,['tYwOrZrIPolfPP7']
930540374380171264,['olson7611']
902798633401282560,['5SwARp7kv5CTjve']
911537023340572672,['elephantlava']
917076261176037377,['aliiarodina5652']
898577738382155776,['6mxJ3t9z2DbH4Wo']
747328992244432897,['muravevaaida1']
73880730,['leverviger']
898579971421220864,['J0cbEiJedlt2vON']
902780894087393280,['LXKupu7LfGh0QNt']
902783530379464704,['TONy1uJpGVkkYxN']
898929697567985668,['bfghek003']
902781792570232833,['jzeD1NCUQ1RmH4R']
902780657616773120,['q0bmTXSoHXFIdv6']
902818928975597568,['1wTT4xsRj3MHlnh']
898510180832489472,['lQkDkY7LAC43wSe']
902780273884049413,['41rRjTgZfuGMxNz']
929084734960844800,['lujunhelei58']
902780232163360768,['J4NQdTp5iER8ELg']
1368044863,['asdwyzkexa']
902778760868626434,['JQAGPbQRWFz5hhm']
898512012183056384,['HSh7oUBHpMxO4FM']
