userid,count
382613598,10336
842590706,7531
387917128,4298
856623864,4063
2990164415,3320
2990281000,3172
2986107375,3147
2990217773,3107
2986164676,3086
2986123491,2972
2992553733,2949
3008163887,2847
3008183853,2841
254827032,2715
2984410329,2601
368085963,2150
3008254703,2142
752181834973212672,2005
520616723,1944
286347139,1888
821777924,1869
496883368,1613
583056558,1326
398056315,1324
305192408,1189
397176030,1152
405191934,1132
3402494354,1121
72928307,1121
179727790,1111
193021875,1111
335568463,1100
191995162,1098
1355409276,1070
3122981100,1061
152823165,948
192608058,921
2590523760,920
27260086,908
302956088,890
26257166,872
130683240,866
291410638,838
336592282,821
278116739,820
882184555,820
295325828,816
404490993,806
2675603869,804
340305076,800
332283827,793
387637479,784
19923144,773
828655955185278976,763
373985597,752
144787191,743
1610073986,728
489778726,716
566893562,701
158904899,694
73147282,692
2887557850,686
521582803,684
2542348724,674
30261067,669
837278732,664
562916499,628
491452548,607
416234815,597
555514385,574
288370292,573
384465928,573
619497759,572
503772433,568
337793785,563
331337942,563
499817490,558
2613358347,557
107845334,553
213125429,547
15809249,543
460671573,537
107213861,537
19051864,535
348611667,523
369713838,511
2158665480,508
102032342,504
2274813530,498
150396845,490
36758975,490
354606356,482
760263576,477
972651,475
286416961,472
579987737,472
564140572,470
476607837,459
25319414,458
560508024,457
3329949395,452
173624224,445
754289864158224384,444
418183874,443
392558258,442
369773997,437
716868513860689920,434
426163306,428
348046115,428
125414247,426
340369502,426
354562947,423
2409453793,419
1511888970,418
1136857165,406
286954175,404
455632174,403
2593691742,403
907070779,403
141812329,397
1419014540,396
577350796,395
487118986,395
145369640,395
3319804777,394
461710783,393
308532577,392
835285028,379
353098069,377
1115874631,377
891959702,375
2355814579,373
273919263,371
536363244,368
373565010,359
2557521,358
185285566,358
542266296,352
180520093,350
327920593,348
2932029809,340
515918708,338
429886886,337
64873435,336
2970136169,331
412799199,328
379016846,327
2301051091,326
2162984269,325
14885549,321
1363365108,321
2970125177,320
2970064539,320
249680384,318
62883832,310
2970116405,306
2932033817,303
731145067281317888,303
464230988,300
438572079,300
816653,300
1967021779,299
2970078633,299
467780930,298
134926460,294
2294327521,294
144699570,291
381871870,290
2974027467,290
465305740,288
291134504,284
873151274006401024,284
1408087117,284
2834602671,282
369532351,282
745560498033168384,281
2932116953,281
1408945260,280
944281862,279
783492110,278
212043440,273
1850689159,272
287636177,270
1542967555,270
610378765,267
321544566,266
529048374,266
839561610,265
166960754,264
232406218,263
200072035,261
1597435105,259
546191677,258
2604147293,257
238583481,257
1406419664,257
3000181021,254
3238990975,253
917720526260506624,252
7905122,251
2477663192,251
327058690,250
2818823852,249
388422219,247
383473217,246
394298776,243
1944827300,243
359680858,242
489037675,242
865981393066741760,241
966311743,239
76161750,238
27500565,238
2320215524,237
2551472479,233
313809703,232
1352642953,232
2541995982,231
2269176974,231
2196715789,230
402882873,230
863537120,230
303862998,228
434397629,227
927524471564410880,227
541839076,225
39793949,224
701242345,224
3001814386,223
2361498146,221
532746320,221
74518740,220
152519322,218
885247111,218
900261083172052992,217
2172692294,215
760096646,214
614643017,214
370044519,213
1406323592,212
112243365,212
59864601,211
550305616,210
3194588306,210
365549653,210
1696716042,209
227316441,209
1406351096,207
468116681,207
282225482,205
500805919,205
2957991374,205
1668924427,205
36117822,204
2814579540,202
2541522594,201
422699347,201
182055312,200
3090367738,200
284902917,199
1048887403,197
92641493,196
1129735086,196
422229342,196
1273132524,195
2252399336,194
2196415373,193
3023472333,193
353878633,191
425449245,190
1653850027,189
2940799979,189
2230523558,189
977614117,188
945998964,187
467753728,187
2679457117,186
737596971217649664,186
737596298006659072,186
380452002,184
831726156,184
290212647,184
2565945836,184
920859986,183
261418350,180
339904067,180
102492281,180
831691746,180
3092774206,179
1024222051,178
737600382025617408,178
543737483,177
414312150,177
348523135,176
1274747143,176
923683015,176
946021849,175
831530658,175
952360476,174
3131052220,173
831656420,173
923640253,172
1263506714,172
831678246,172
3092729795,171
283760536,171
831523003,171
921014492,170
803419038,170
3096572519,170
633237284,169
542742701,168
831722209,168
406254403,168
565103455,168
840349549,168
2361932329,167
923634042,167
1952725578,167
239393954,166
922072292,166
2269398756,166
404394378,165
900371096,165
831621690,164
831749088,163
2361535056,163
2427556818,163
867287820,163
923663179,162
548482109,162
2909927037,161
2349325489,161
318747251,160
2932281161,160
2781473942,159
152810541,159
189292125,159
899918636,158
2232468409,158
968160349,158
3131158503,158
584418838,158
921222019,157
831672889,157
185379738,155
795152071,155
1618182954,155
75544059,154
831708746,154
366313909,154
2476172039,154
338695194,153
860023692,153
2892694943,152
3044796408,152
209746108,151
633378472,151
840296419,150
1935583963,150
87938740,149
359150738,149
387767542,149
254694070,147
2570177683,146
912686354,146
2231484001,146
3128834331,146
2710558604,145
100884451,145
3661745605,145
737599368199475200,145
1653692845,144
2361504780,144
554491580,143
314560115,143
2356777488,143
207229141,142
370812055,142
104939038,142
633250882,142
1090305960,142
3074962816,142
579048215,142
206907562,142
2872433914,141
616701252,141
338736117,141
3107512984,141
2368009081,140
2337387918,140
1118076962,139
2674958605,138
1575420284,138
2568426343,137
297486554,137
2933958526,136
8149482,136
2184807432,136
2994365765,136
228769818,135
1608510294,135
1556408460,135
2732421131,135
2250737179,134
633287958,133
3105686345,133
2932242765,133
2238435176,133
3147488391,132
350472945,132
831637080,132
1142172626,132
1517945677,131
737597910947270656,130
430804893,130
