userid,count
1214742430601187328,1293
229313308,958
267243786,705
358491915,476
199992361,279
337604843,255
37950212,253
1040252793339240448,211
735448052031361024,210
1206467004338556928,166
1136977159765934080,166
1203162559353765888,161
1212591967080574976,149
1203919961913090048,144
87732915,142
1196284294282412032,137
65314514,129
1054672708661723136,119
86899675,115
138726107,112
92222661,109
53864669,105
1209016973675253760,103
4711233222,100
61995183,97
1212598472857145344,92
51982918,87
1159383524505354240,78
834243316233351168,75
1215196814325903360,74
50257835,66
1209330189886353408,61
1209331337636675584,56
211395583,52
64684234,50
1153215439553486848,50
61760897,49
1101129316417454080,48
1156950089367035904,47
1877783624,46
1121682547652513792,46
1018482744207147008,43
1185594258738122752,41
1191569807033819136,39
1167020856079343616,39
264608882,38
3799267579,38
980807795464220672,35
148271173,34
19059272,32
2564675461,32
1082182785501020160,32
4013102233,32
1191901531936681984,31
998509048273125376,31
1202923982200045568,31
20586159,30
1009733238330281984,30
132565532,30
871007931835138048,28
919935068365135872,28
1013345393856282624,28
106324785,27
9594042,27
715916606,26
1188724507432718336,26
1118893846983614464,26
50916567,26
24871506,25
1203940848167047168,25
1245690818179911680,25
123907907,25
2294029646,24
1143625912623104000,24
14093581,24
971024778730459136,24
1208962258308493312,24
1131070236248035328,23
105560125,22
238488874,22
55857071,22
2226851126,21
1376852185,21
1114818760135696384,20
730332919516958720,20
1089773358722338816,20
730993257400819712,19
1162013091833364480,18
1203242317181681664,17
1135887200,16
1205774669791428608,16
891577570054950912,16
63366677,16
1210046809747230720,16
256904057,16
3121015171,15
2694489102,15
1190628683268018176,14
583447601,14
1019882242414325760,14
1179791538689212416,14
359955132,13
91053979,13
145931392,13
1093807114617679872,13
237770028,13
21539210,13
49906316,12
927867302166401024,12
987001212351361024,12
143688499,12
1103481796321107968,12
1209032269857296384,12
974499559056424960,12
832547220931108864,12
999771323667632128,12
2885672398,11
3241492268,11
2519629339,11
1215155257912614912,11
107635564,11
1080340252990926848,10
394850348,10
1215151302348398592,10
885042838941175808,10
1068169068492992512,10
1215152247207628800,10
2587365168,10
856908850959482880,10
963431373016129536,10
974248292874776576,9
1210390459370967040,9
1215139264150659072,9
2456387905,9
1116610214965334016,9
234274515,9
1204323704278155264,9
1214935490488492032,9
1091362173459214336,9
3309484274,9
1215144331478044672,9
99681027,9
1201113044979314688,9
1204319952833925120,9
1222419379146510336,9
2479547882,9
108841828,9
1222396979445022720,9
1215135979909963776,8
1098211572994924544,8
1215145116953788416,8
1158501559946244096,8
1212635509882646528,8
1477742143,8
1100911424698671104,8
19141546,8
1412712248,8
19526231,8
1026141870399713280,8
998815271551827968,8
191505183,8
64358426,8
1202933904916639744,7
65871931,7
1209015967008690176,7
996184938780155904,7
2356556323,7
448161711,7
919533848332869632,7
729291120484581376,7
1544701849,7
377394968,7
36295659,7
1192015085134180352,7
1215147354245885952,7
1708706017,7
1110432091395801088,7
1094801997012688896,7
23619878,7
1223141855547707392,7
146286258,6
2456232744,6
58219570,6
315615561,6
1094835427431768064,6
2678896735,6
168750564,6
1202918993398398976,6
14301366,6
1209009136521768960,6
1095840339699499008,6
2529194724,6
999674169892552704,6
1212064594757177344,6
43348550,6
149909321,6
583857653,6
272860835,6
4781800940,6
1098887750692921344,6
1215148396710785024,6
25802588,6
182168448,5
757426455420645376,5
554918064,5
725346784734679040,5
75972047,5
2315010763,5
1216999464113557504,5
417789913,5
3315676758,5
1216934545372508160,5
15016766,5
2436789440,5
1150704559649460224,5
2242613616,5
1122092474233581568,5
66301173,5
2514771818,5
145574913,5
1021053276588978176,5
1106056312134094848,5
116141566,5
12425692,5
635328646,5
2551822080,5
273346147,4
2616800226,4
287629297,4
1542865891,4
1209001621188792320,4
1174983643971801088,4
66811980,4
2532360218,4
4666487059,4
1182834093572026368,4
886858202247159808,4
1220215016684548096,4
1178126190,4
906903605294252032,4
285993399,4
859348698781827072,4
1212550816747245568,4
117772853,4
148678287,4
1116649680195080192,4
1116699085166145536,4
34507480,4
918765210567032832,4
1048106664929374208,4
1011645998966247424,4
901120409872900096,4
69644672,4
1203261337624690688,4
1114062512398393344,4
1201730863035142144,4
2361192372,4
1159025486929879040,4
573299587,3
1115855015657140224,3
801486428601319424,3
2963637435,3
14181969,3
361098756,3
68980519,3
2923428150,3
167306817,3
1210368426457231360,3
1326375108,3
42951974,3
2309234977,3
59028840,3
2362163185,3
198714960,3
773751029456396288,3
850381694116835328,3
1216936050720817152,3
1011994706987737088,3
57832421,3
968067084369317888,3
116399823,3
17023417,3
2237533399,3
906061083118510080,3
